Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.3456242998938324	0.21905477052288397	0.21254648	0.12518197885759746	0.9998359409617026	0.2225056853185722	0.0	0.0	0.0
2	0.2651614104853304	0.20822967574387402	0.21254885	0.12518125576925626	0.9998381178608838	0.22250459697584346	0.0	0.0	0.0
3	0.2598702973812919	0.2058616043007993	0.21259272	0.12518157606913016	0.9998335661625958	0.22250499023642933	0.0	0.0	0.0
4	0.25842602013351545	0.20507198255267237	0.21263954	0.1251815322136489	0.9998359409617026	0.22250497976461744	0.0	0.0	0.0
5	0.2579117448470389	0.20477299176930608	0.21268775	0.1251815043344857	0.999835743061777	0.22250493082400957	0.0	0.0	0.0
6	0.2577116758645385	0.20465556253957284	0.21272065	0.12518147331767082	0.999835743061777	0.22250488182738515	0.0	0.0	0.0
7	0.25763248643838915	0.2046102247164621	0.21273823	0.12518151396335017	0.9998339619624469	0.22250490193023625	0.0	0.0	0.0
8	0.2573793819603689	0.2046144741599436	0.21273823	0.12518151396335017	0.9998339619624469	0.22250490193023625	0.0	0.0	0.0
9	0.25708815120202483	0.20455307321163355	0.18245362	0.1251853081776989	0.9998300039639355	0.22251079753442074	0.0	0.0	0.0
10	0.25705768561872777	0.20447377159030405	0.16862045	0.12518122471671608	0.9998383157608094	0.22250455282316436	0.0	0.0	0.0
11	0.25699813153146356	0.2044628013118908	0.1708647	0.12518125263166605	0.9998383157608094	0.22250459691988142	0.0	0.0	0.0
12	0.25698681832767845	0.20461740039966322	0.1708647	0.12518125263166605	0.9998383157608094	0.22250459691988142	0.0	0.0	0.0
13	0.256947092276121	0.20475316079115713	0.1708647	0.12518125263166605	0.9998383157608094	0.22250459691988142	0.0	0.0	0.0
14	0.2570014525586226	0.2046289649102595	0.1708647	0.12518125263166605	0.9998383157608094	0.22250459691988142	0.0	0.0	0.0
15	0.25705565268716474	0.20444159931805614	0.18922763	0.12518121234599536	0.9998381178608838	0.2225045283809441	0.0	0.0	0.0
16	0.25710053862616233	0.20439254845698157	0.19479842	0.1251812588709189	0.9998381178608838	0.2225046018754808	0.0	0.0	0.0
17	0.25714224768871663	0.20443542735868847	0.19479842	0.1251812588709189	0.9998381178608838	0.2225046018754808	0.0	0.0	0.0
18	0.2571750936319442	0.20443604828475356	0.19479842	0.1251812588709189	0.9998381178608838	0.2225046018754808	0.0	0.0	0.0
19	0.25717314543921177	0.2043714670996581	0.19129845	0.12518124650019574	0.9998379199609583	0.22250457743325464	1.0	2.3747991068380557e-06	4.7495869343613015e-06
20	0.2571523446250284	0.2047973136091	0.19129845	0.12518124650019574	0.9998379199609583	0.22250457743325464	1.0	2.3747991068380557e-06	4.7495869343613015e-06
