Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.672998718528896	0.6408221564476678	0.27175415	0.10917059579327298	0.9988354763487407	0.19682827882277795	0.10029563835348809	0.28128193128969287	0.14786692458040754
2	0.6013050989418178	0.5674762886629627	0.20553543	0.10938190582934731	0.9937222053848984	0.19707156846745072	0.11989616867101388	0.17386542814724174	0.14192323928642459
3	0.5356588011121935	0.5090925925039133	0.24091953	0.11363321412170915	0.9124691028789549	0.20209835847553403	0.15184461354430936	0.12003464002970445	0.13407873743686674
4	0.484601106485968	0.4639434744934523	0.25246832	0.1254158273951911	0.8379685885666295	0.21817775360491046	0.20125561238133868	0.08943604189328347	0.1238391616375153
5	0.44319488682171715	0.4256804733561696	0.24980399	0.1388670317990091	0.7717510898929241	0.23538029957487944	0.21405458901614244	0.05362096915888754	0.08575915256668828
6	0.4079604657243662	0.3954773553728332	0.25322524	0.15751041674650684	0.7478507772115004	0.26021501334250036	0.2140755754877082	0.022881070179039825	0.04134324447891998
7	0.38098749961370626	0.3724320161536064	0.25072184	0.17652610680160213	0.7516332046178367	0.28590540809440584	0.21310234966148944	0.007606648019883332	0.014688975828934784
8	0.3597294588497177	0.3541867695522115	0.2543634	0.1960578400738552	0.7107742319574175	0.3073399474846076	0.0	0.0	0.0
9	0.34257475003194254	0.33945172218110936	0.24974544	0.21366913441184626	0.7101589904580706	0.3285006219253884	0.0	0.0	0.0
10	0.32862200333450553	0.327423297337296	0.21690087	0.21378690172836096	0.7676317580611136	0.334433452201497	0.0	0.0	0.0
11	0.3172014437992749	0.3175717417233856	0.21044683	0.21825979305232354	0.7521094197340132	0.33833564408435907	0.0	0.0	0.0
12	0.30782243579278196	0.3094410506392589	0.18330315	0.2182178801967298	0.7600714521689538	0.33908410447301174	0.0	0.0	0.0
13	0.3000911463791294	0.3027174487317068	0.15157917	0.21764145185841147	0.7904198596771744	0.3413048866557742	0.0	0.0	0.0
14	0.29372173181303746	0.29714293608679976	0.11021703	0.21266533030265064	0.9999510991044881	0.350737340548031	0.0	0.0	0.0
15	0.28844326616261257	0.2925144921814452	0.11047087	0.21775110335265915	0.9999508147969561	0.3576251132975133	0.0	0.0	0.0
16	0.2840733438150428	0.28863703355223364	0.11052631	0.217862056696557	0.9999508147969561	0.3577747389710082	0.0	0.0	0.0
17	0.28042478927842374	0.28537219777914863	0.110589005	0.21795045702267835	0.9999522363346163	0.35789402240207063	0.0	0.0	0.0
18	0.2774036157919739	0.28261454569640554	0.1107345	0.21798744254986707	0.9999522363346163	0.35794388580927	0.0	0.0	0.0
19	0.274881650501652	0.28036027895872295	0.11054648	0.21800102146818698	0.9999522363346163	0.3579621919704882	0.0	0.0	0.0
20	0.27278567928284525	0.278451585624571	0.11073718	0.21800127820034945	0.9999522363346163	0.3579625380751525	0.0	0.0	0.0
21	0.2710324063607227	0.2768561449544183	0.110745825	0.21800127820034945	0.9999522363346163	0.3579625380751525	0.0	0.0	0.0
22	0.2695810456452203	0.27552460248886207	0.11067693	0.21800135927378952	0.9999522363346163	0.3579626473715014	0.0	0.0	0.0
23	0.26836414469355274	0.27439071059710596	0.11070068	0.21800112163240654	0.9999519520270843	0.35796230878655916	0.0	0.0	0.0
24	0.2673608044010192	0.2734815298181035	0.11083712	0.21800112163240654	0.9999519520270843	0.35796230878655916	0.0	0.0	0.0
25	0.26651178967164185	0.27270309841657026	0.11060962	0.21800129171258528	0.9999522363346163	0.35796255629120605	0.0	0.0	0.0
26	0.26580707005257737	0.272058343186098	0.11078054	0.2180012432424492	0.9999519520270843	0.3579624727309441	0.0	0.0	0.0
27	0.26523181819266384	0.2715322918147151	0.11089886	0.2180011407233912	0.9999516677195522	0.35796231630649733	0.0	0.0	0.0
28	0.2647438877287542	0.2710948740009362	0.110849395	0.21800138629828297	0.9999522363346163	0.3579626838036325	0.0	0.0	0.0
29	0.2643424399052149	0.27075505836982033	0.11056593	0.2180012958063934	0.9999499618743599	0.35796241607445883	0.0	0.0	0.0
30	0.2640091681642755	0.27043090325460956	0.110673994	0.2180013513403788	0.9999519520270843	0.35796261845941224	0.0	0.0	0.0
