Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.6491283762779682	0.5982593232671339	0.39630875	0.12675033664205665	0.6420599445372867	0.21170714311895936	0.12937317396426065	0.31451975624609435	0.18333438705924046
2	0.557474141594037	0.5218486434668604	0.28971833	0.1262217193543459	0.8303394802517146	0.21913261145931456	0.1269282635106794	0.15288182643707507	0.1387013939034313
3	0.4913597845149875	0.46466798478884824	0.25021937	0.1341025726804567	0.9003416807920126	0.23343575118785986	0.11586379261209595	0.052246057933914423	0.07201750999829525
4	0.4407224892874172	0.4202346178508434	0.2433027	0.1474178002844995	0.8540043862966044	0.2514333110413133	0.15881034258491455	0.04443072818550953	0.0694353669530538
5	0.40069609124372907	0.38556280653568603	0.24819183	0.1668821998774077	0.7743527881186745	0.2745875332101158	0.17949864996565001	0.015970975612668515	0.029332112880726777
6	0.3690926786990481	0.35871627406948237	0.24538966	0.1842759797317968	0.7406740021800702	0.29512607185846423	0.21528593189679796	0.015429654071653458	0.02879551844508127
7	0.3443911430900663	0.3381258830216545	0.2439579	0.20481341220791668	0.7106693224780927	0.3179843887239414	0.21398818479861892	0.0076825581309395395	0.01483259944296788
8	0.32519403805064784	0.3223072970191557	0.2479586	0.21384826958509803	0.6877720467697263	0.3262545428553222	0.0	0.0	0.0
9	0.310313226995765	0.3099643822313564	0.20163035	0.21389503813493368	0.7313714597315341	0.33098967671691987	0.0	0.0	0.0
10	0.29880466748768253	0.3003489487553223	0.20502561	0.21846206746794072	0.7279392992046781	0.3360669793927482	0.0	0.0	0.0
11	0.28990907119405873	0.29278002065770764	0.10156897	0.20820822296534056	0.9998115041062536	0.3446449952847998	0.0	0.0	0.0
12	0.2830466809207827	0.2868514898522147	0.10201877	0.21446068501148097	0.9992747314857514	0.353133212586924	0.9197896120973044	0.00039774623733196716	0.0007951486271466242
13	0.27775818179089734	0.28237437948010274	0.10199128	0.21778795876575763	0.9978480762899459	0.3575400686169478	0.8906870229007634	0.0008293250709773754	0.0016571071975658646
14	0.27370156680563545	0.27889878035317084	0.09266462	0.21787514399271143	0.9998581305415092	0.3577864524517314	0.8434622467771639	0.0013021284967694134	0.002600242765023215
15	0.27059242972372105	0.2762723255290463	0.09074686	0.2178809102848012	0.999825435175324	0.35779213396409215	0.7878550951264008	0.001718923338748444	0.003430362395148698
16	0.26817970595934976	0.27432258708240054	0.08681098	0.21789140084267036	0.999806670878209	0.35780507688844404	0.7493333333333333	0.002236931662135752	0.0044605475679300914
17	0.2663011833271628	0.27283606144767747	0.0847742	0.21790807155558384	0.9996159005242062	0.3578153337012949	0.7153748411689962	0.0028811725297513617	0.00573923030657933
18	0.26479643589095847	0.2717962078221188	0.07995561	0.21792496117081514	0.9996335275911931	0.3578392326874691	0.6590334807327859	0.003559245993680412	0.00708025362001225
19	0.26358088783716876	0.2711339894583936	0.07573909	0.21792825388659645	0.999639213741834	0.35784403601330456	0.5838426491832426	0.004481255320104694	0.00889424331640952
20	0.262528428702039	0.27067089618824075	0.07095363	0.2179422231112142	0.9996508703506478	0.3578636150108952	0.5272294272925514	0.005224150901340169	0.01034578863061171
21	0.2615987134118952	0.27041431010132144	0.06513723	0.2179534433828287	0.999633243283661	0.3578776113101453	0.49763103713442314	0.005703493400369259	0.011277729477846355
22	0.260729280612812	0.27065268355378275	0.06513723	0.2179534433828287	0.999633243283661	0.3578776113101453	0.49763103713442314	0.005703493400369259	0.011277729477846355
23	0.2598768127799498	0.2705230606648066	0.06513723	0.2179534433828287	0.999633243283661	0.3578776113101453	0.49763103713442314	0.005703493400369259	0.011277729477846355
24	0.25905000108225334	0.27084654554513116	0.06513723	0.2179534433828287	0.999633243283661	0.3578776113101453	0.49763103713442314	0.005703493400369259	0.011277729477846355
25	0.2582374837727862	0.27095064792865187	0.06513723	0.2179534433828287	0.999633243283661	0.3578776113101453	0.49763103713442314	0.005703493400369259	0.011277729477846355
26	0.25745814959826635	0.27145772280726904	0.06513723	0.2179534433828287	0.999633243283661	0.3578776113101453	0.49763103713442314	0.005703493400369259	0.011277729477846355
