Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.6840293349404084	0.6671963597624755	0.5810702	0.02138028222872291	0.07856897827263973	0.03361359396688151	0.015464423952159703	0.39293581811343525	0.029757700664236626
2	0.6380314385420398	0.6082064928102099	0.60058546	0.033443600874544406	0.10918236186366774	0.05120317875660222	0.015550928378925098	0.2749955569883407	0.0294371911320329
3	0.5759170420859989	0.545923602236204	0.59041524	0.03678917309764426	0.11839489487627762	0.05613527649259361	0.01589054200167744	0.19498001678011845	0.02938616148248874
4	0.5189781894809321	0.4922574380458879	0.5679119	0.03815729885425	0.12083751803036127	0.05799979368681659	0.020009866518077377	0.16311432385628613	0.0356468016691656
5	0.4704923932489596	0.4458264499163825	0.5419053	0.03793353523694734	0.12279244316044852	0.05796140133539479	0.024641336284678	0.14194079015345956	0.04199262931108269
6	0.4271496386120194	0.4025666450173402	0.5160011	0.03733651380113396	0.12563183758829194	0.05756522414304098	0.034639881925252344	0.1300789822816828	0.05471043779823211
7	0.38617168241425565	0.3627681377505468	0.49089292	0.03703554832855255	0.12566903489520692	0.057210700805683815	0.0311912975169917	0.09058784144027972	0.0464045375583947
8	0.3502572940760537	0.3288143077665124	0.46046674	0.03698172112429057	0.1269006790575029	0.05727284343140885	0.01675798835956188	0.03656908573152637	0.022983609112398367
9	0.31937828840393767	0.2992282628027861	0.43059355	0.036947529971645285	0.1272602530243477	0.057268320989766815	0.014062651930120247	0.014345761366877038	0.01420279595807495
10	0.29228807025049863	0.27304999284015213	0.40229574	0.03708636099558389	0.12637578372659153	0.057344383243595025	0.018305210877970653	0.009353056172066476	0.01238036101636035
11	0.26822957823935306	0.24974902830094345	0.37513068	0.03755852730151245	0.12442499163060594	0.05769993732642583	0.018306562011453753	0.009340657069761482	0.012369802356830484
12	0.24686484964270342	0.22895091156329006	0.34897617	0.038232838887818664	0.12304042520654838	0.05833806093064591	0.012121212121212121	8.266068203328746e-06	1.6520869989013624e-05
13	0.2278239949165206	0.2103714428164742	0.32457295	0.03874678590509176	0.12169718912350745	0.058779083868739694	0.0	0.0	0.0
14	0.2108301271341349	0.1937645107877156	0.30148113	0.038989229142422935	0.12130455088384934	0.05901128452587398	0.0	0.0	0.0
15	0.1957053345284964	0.17892662774432788	0.28005937	0.03903303204251765	0.12129628481564601	0.059060462111691255	0.0	0.0	0.0
16	0.18222822235210945	0.1656750698596978	0.15709493	0.0315390880890075	0.5265196133133294	0.05951326777326627	0.0	0.0	0.0
17	0.1702557916703977	0.15384802918049914	0.15690488	0.037559770792926606	0.4566176075518799	0.06941010831821845	0.0	0.0	0.0
18	0.15962350786124405	0.1433014958358008	0.15692765	0.04447283816577498	0.4355969961108149	0.08070590289317268	0.0	0.0	0.0
19	0.15015306266907014	0.13390744397462892	0.15720427	0.04766918207539277	0.43096799791695084	0.08584327678722847	0.0	0.0	0.0
20	0.14177858527553708	0.12555698360785966	0.15730219	0.06724406575240623	0.40971180353209097	0.11552719750604551	0.0	0.0	0.0
21	0.13442384309478497	0.11813741035697874	0.15728527	0.07530234172148338	0.4089761234619947	0.12718657557153498	0.0	0.0	0.0
22	0.12788360852159952	0.11156500946761162	0.15756008	0.08155202167024603	0.39942468165304834	0.13544893159578078	0.0	0.0	0.0
23	0.12214551977813244	0.10574350284397109	0.15772799	0.09358688332425073	0.38540956301430446	0.1506035382165502	0.0	0.0	0.0
24	0.11705852142093998	0.10060185846710994	0.15870206	0.12639968216130315	0.3287291333440792	0.18259119860698367	0.0	0.0	0.0
25	0.11265890585552706	0.09606569854558007	0.15789449	0.12981238334393067	0.36620748657797175	0.19167888027776728	0.0	0.0	0.0
26	0.10876169321372321	0.09207207764968399	0.15804629	0.15458764151399604	0.35673043938285537	0.21570180809456574	0.0	0.0	0.0
27	0.10536284982962044	0.08856153903790742	0.15606818	0.1548671534208869	0.356709774212347	0.21596997184860806	0.0	0.0	0.0
28	0.10244126303219482	0.08548196956269012	0.1421383	0.15369204998189062	0.3928572904655036	0.22094635508131522	0.0	0.0	0.0
29	0.09977162094100525	0.08278799777434877	0.14237434	0.153867957227497	0.39263410662401377	0.22109269816223487	0.0	0.0	0.0
30	0.0975089183469352	0.08043044725479173	0.14257698	0.15410089163215065	0.39272916640835204	0.22134816410913433	0.0	0.0	0.0
