Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.6812603892032154	0.6643736137900241	0.27826115	0.0337070681829842	0.9934370028838057	0.06520185382937675	0.03288654285361231	0.4069526086105842	0.06085526655782807
2	0.6470962900222897	0.6280470457187919	0.23577777	0.0337019566356017	0.9937538812280419	0.0651929727339835	0.03118228276828304	0.31793531428376987	0.05679432349290199
3	0.6099982235832478	0.5894722661306692	0.4359117	0.035161629191772396	0.5083239049620172	0.06577358745497192	0.029791700540835974	0.24042346856311622	0.05301422567928433
4	0.5720382637539604	0.5514533447664838	0.41048834	0.0351368292271559	0.5046362066472144	0.06569915514983157	0.028913245233355412	0.1759078883567412	0.04966350713319245
5	0.5349177240912175	0.5140182425809461	0.23674743	0.034116477880267164	0.9017953603906324	0.06574568288854003	0.027665631630195708	0.1330548773744609	0.045806813913662314
6	0.4982912295612553	0.47696856163268864	0.21470504	0.03453144537944804	0.9013338664262077	0.06651461654688763	0.026397846317204626	0.10172432860071627	0.04191785215701843
7	0.4629168547108847	0.4420799132003341	0.19954017	0.035543324204400276	0.9043155002424438	0.06839831296386255	0.025976894337661743	0.07729066888977738	0.03888484391976945
8	0.43057220854007183	0.41068667991216795	0.18494196	0.03584066253924718	0.8991242248177418	0.06893351474118116	0.028177221780385807	0.05018162020535418	0.036089829966672426
9	0.4013346132517274	0.3822602856990903	0.17805536	0.03603588596864556	0.8787504359735608	0.06923267160009289	0.03090800199505857	0.03413353976504215	0.03244079050424711
10	0.37464759766125805	0.35601738829945406	0.18887736	0.03666933025824078	0.8149047663607054	0.07018065045740007	0.03309556994889454	0.023178906535775354	0.027263483217035988
11	0.3501781926101374	0.3320300050946169	0.18780454	0.03804444496192676	0.778282987248305	0.07254281334881488	0.03191172084700268	0.010240061929512646	0.015504824528213789
12	0.32773366307055307	0.30989108875740407	0.18461648	0.039885944092976786	0.746752528646653	0.07572711135054792	0.027946514894470895	0.006516209709662876	0.010568250409588687
13	0.30718732438013086	0.2897971944753514	0.17434005	0.04168467898660284	0.7528114977924851	0.07899523380998952	0.02794906410770971	0.006516209709662876	0.010568432671081677
14	0.2884140940741402	0.27118791126927666	0.17098637	0.04304236900401434	0.7082549998723979	0.08115288117949107	0.0251804399813879	0.00494883159085689	0.008271939568984669
15	0.27132818701982087	0.25429595909839453	0.18661022	0.04549419961544885	0.5648388386515019	0.08420612768771756	0.0	0.0	0.0
16	0.25582737270322997	0.23893406751543977	0.1841444	0.04879433987013054	0.5205588117700102	0.08922519708805071	0.0	0.0	0.0
17	0.24180753464508717	0.22505727867747463	0.172953	0.05176744345899349	0.5445692581218684	0.09454711811162012	0.0	0.0	0.0
18	0.22918517099922617	0.21248470212137976	0.1805225	0.05641952353494551	0.4613344619022909	0.1005430040632027	0.0	0.0	0.0
19	0.2178405956905884	0.20117633391258327	0.17837374	0.06463090595123316	0.426403409525916	0.11224811704483459	0.0	0.0	0.0
20	0.2076993221530055	0.1908406164757041	0.16778211	0.06960569128034587	0.4389870951825985	0.12015899964228863	0.0	0.0	0.0
21	0.19864719762649238	0.1821191537518834	0.17657353	0.0817786279873733	0.38329944790860293	0.13479759456687135	0.0	0.0	0.0
22	0.19061384186071167	0.17410686431929123	0.17705515	0.09527403682382281	0.35569700475530186	0.1502920870950611	0.0	0.0	0.0
23	0.18351535677290046	0.16731995316438897	0.17638738	0.11515990454869449	0.3319141153352105	0.17099270429667515	0.0	0.0	0.0
24	0.17722364642901065	0.16104330167520878	0.17690329	0.13566788018284404	0.30385655831837555	0.18758263038697606	0.0	0.0	0.0
25	0.17172756292687752	0.15568909045568732	0.17295866	0.152619532259563	0.30743579491803696	0.2039785410511047	0.0	0.0	0.0
26	0.1669098185294629	0.15082593161699384	0.16752723	0.1629774043851304	0.3104089219330855	0.2137351147765679	0.0	0.0	0.0
27	0.16267049973717596	0.14689011539137642	0.15876882	0.16576733886496517	0.32222486878259166	0.2189148030526763	0.0	0.0	0.0
28	0.15897305010199753	0.14316121034843976	0.15097941	0.167435769856575	0.32849012785722187	0.22181135408177555	0.0	0.0	0.0
29	0.15575829409127426	0.14015741008658741	0.1693418	0.18564177425403117	0.29479256165304163	0.22781808081571742	0.0	0.0	0.0
30	0.1529449534116626	0.13744503380947334	0.15894057	0.1862233332573507	0.3127355320578803	0.23344069924896774	0.0	0.0	0.0
