Epoch	Train Loss 1	Test Loss 1	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.375087733656941	0.6851539003728616	0.30469242	0.3100461788051975	0.9957000725198148	0.47285297952425076	0.34961964059211925	0.5338719801628404	0.42253288076968437
2	0.3675897195291107	0.673731622069773	0.42280903	0.3350935980306661	0.8348216731220861	0.4782284752720955	0.3696010484794398	0.539697688361801	0.43873992869139683
3	0.36063620611295233	0.6616645611897863	0.42535228	0.35319069698392974	0.8321731670654503	0.49590818448456875	0.3901893126923436	0.550913382795566	0.4568269014989289
4	0.35301763867095154	0.6481838352752455	0.44193804	0.3843257492943958	0.7903383303154436	0.517164653737353	0.40797901390092406	0.5631452592495431	0.47316590451654966
5	0.34475747266145534	0.6341312383160447	0.43958816	0.40299725733825936	0.8123671663648777	0.538738395845401	0.4261201285724112	0.5759696572672343	0.4898408663109466
6	0.33633535593662206	0.6205192677902452	0.432796	0.4152239205380327	0.8515328919826656	0.5582394700882719	0.45337647777957674	0.5952856592191883	0.5147292076777
7	0.32791123756070645	0.6071438470272102	0.42719862	0.4250292440906768	0.8896482613085429	0.5752384542332786	0.4890330850977749	0.6165807535527422	0.545449735849627
8	0.3196891815930347	0.593405671191938	0.43739372	0.44579334804650866	0.8896693689469449	0.5939644463159166	0.5195895230713279	0.6347031688093433	0.5714064016747665
9	0.31172063603181316	0.579541604928296	0.45549035	0.47968582553329475	0.8631425956666018	0.6166644405475391	0.5381337885293785	0.6445131950380968	0.5865390640185687
10	0.3038202959625453	0.565071874194675	0.4532874	0.500911130610411	0.8936707741125871	0.6419840044362725	0.5477477243216583	0.6563565904329126	0.5971539580878091
11	0.2959536729697192	0.5506623236819951	0.45762995	0.5197591421892646	0.902785755962531	0.6597066295895592	0.564189739956783	0.6696011309673681	0.6123924189393226
12	0.28827397117353654	0.5367846332415186	0.46237576	0.5367992203275662	0.9043346545709847	0.6737002660812156	0.5872609473264583	0.6833381830645376	0.6316670917401486
13	0.2810247281099259	0.523643469569659	0.46046224	0.5452450213304879	0.9247477511570252	0.686008961053196	0.6215759808074772	0.7005268366032583	0.6586940891577497
14	0.27417876294435617	0.5119182395212578	0.46819198	0.5679573925715764	0.9215373798686401	0.7027805362082161	0.6435553134361766	0.6993739574962521	0.6703045888829188
15	0.2677443620107359	0.5004349949986043	0.4723743	0.5907944303085718	0.9209131968473229	0.719809012961939	0.657660708264347	0.6978934074311954	0.6771800067734142
16	0.2616640860993168	0.4893488655186663	0.46996278	0.5993906557146982	0.9379862609376516	0.7314019013880291	0.6663102181532369	0.6948740100140667	0.680292415413705
17	0.25589412253253396	0.4790441803257875	0.4649491	0.6057281388615159	0.9613544268999764	0.7431892109774516	0.6734171847336303	0.6975225160707026	0.6852579275150661
18	0.25040252725741363	0.4689527852366669	0.45991427	0.6078504543835339	0.9733254732508426	0.7483497830171875	0.6774265752310652	0.696619410684787	0.6868889490698287
19	0.2451676209739031	0.4593401855290538	0.4566753	0.6094200257323277	0.9831234379719379	0.7524254433512552	0.6805780471479905	0.7041759452327142	0.6921759276983744
20	0.24019374309767907	0.44975933312165617	0.45704493	0.6115118017501536	0.9868946693664341	0.7551242419336667	0.6812662830998043	0.7082039862277685	0.6944740136215342
21	0.23544660330849354	0.4411679006586171	0.45200345	0.6123090168503407	0.9914896012214287	0.7570751291345258	0.6810280992741516	0.7085683442716131	0.6945253133691358
22	0.2308950967850534	0.4324555005690064	0.44624552	0.6123976523372966	0.9931279560116816	0.7576200909775777	0.681231971856999	0.7081049813524066	0.6944085833377484
23	0.22657447907354372	0.4241595183960115	0.4415155	0.6124696792740993	0.9935898112424307	0.757809578804517	0.6819868466563855	0.7065188930953397	0.6940361544222446
24	0.22245844215240534	0.41667929562655365	0.43060556	0.6124053159890203	0.9940898612474313	0.7579056871443199	0.687990742874514	0.7051780554939916	0.696478380546947
25	0.2185292814667699	0.4100877892489385	0.40992895	0.6117025014269388	0.9974846730904247	0.7583504011551035	0.6911102086214954	0.7038543050284928	0.697424043160187
26	0.21480289346374765	0.40352215399645797	0.40036547	0.6113682741834364	0.9997577647211957	0.7587490543379737	0.6912961902316671	0.7036361927650051	0.6974116097621964
27	0.2112434922961749	0.3968666156735083	0.457721	0.6165564839924041	0.9919182873061175	0.7604392217299172	0.6919933632670007	0.7019611508889583	0.6969416186159394
28	0.20787096401456454	0.39112555739855526	0.44845206	0.616406866540366	0.9954869858845181	0.7613714919598092	0.6926139204085223	0.7004544675573084	0.6965121296750453
29	0.20465257720919783	0.3852528086816422	0.43654075	0.615949896081588	0.99909387923717	0.7620744161816008	0.6919484309663845	0.7020626685784156	0.6969688578828928
30	0.20160356000795832	0.3796101444297367	0.43620655	0.616256082418925	0.9999748718590452	0.7625650225521378	0.690977541448065	0.7045217084522523	0.697683897770495
