Epoch	Train Loss 1	Test Loss 1	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.36174850926587454	0.6512759219516407	0.25338417	0.015356214090415276	0.9954288642835593	0.03024583381525085	0.014929785685439028	0.38090868887759194	0.028733361995403887
2	0.3363244924890368	0.5990794081825855	0.4492183	0.01590491272040638	0.4906200791062727	0.030810995165009493	0.013122004204246397	0.2508999681756374	0.02493967004010494
3	0.30847158839828087	0.5450233787544503	0.41224903	0.015906773727074084	0.49818766454642016	0.030829193485044436	0.012071316933679674	0.163374705004691	0.022481533878845186
4	0.2810614545486475	0.49260941234009326	0.38379174	0.015983806222492833	0.48042801701156834	0.030938297471406803	0.010530826381233208	0.10268936528995301	0.01910266819205078
5	0.2543329585147531	0.442809857612799	0.35456148	0.016100561973000898	0.4592834145474534	0.03111051884086616	0.009746334071017675	0.06969535405636632	0.01710120265173603
6	0.22984907199677668	0.3980969110549974	0.32468018	0.016239651228245965	0.44987249589796363	0.0313477023742325	0.01120547725173674	0.04613292664277773	0.018031246945858604
7	0.20774163905727236	0.3580820843700535	0.15260671	0.016128666755867826	0.9236669931763607	0.03170373680468	0.01264002651305251	0.029319743917207063	0.017664650529267193
8	0.18785763314287912	0.3218985725779179	0.14726172	0.016613902301730078	0.896707211731204	0.032623369327738544	0.013867354365091922	0.01449041756043529	0.014172041141766897
9	0.16995097347780277	0.2895733640213643	0.14794922	0.016921781034605083	0.865502804263638	0.03319456230616222	0.009619730131060752	0.0049265766491839325	0.006516064668661938
10	0.15378950436256433	0.26015709746967663	0.14795393	0.017881730681013005	0.8200435621794315	0.03500025181369809	0.009454022048480486	0.004777787421524015	0.006347654909411387
11	0.13923989802991088	0.2340988808057525	0.14685309	0.019433258637602226	0.7792505155960042	0.03792083250368565	0.004718034617532105	0.000698482763181279	0.0012168209293199842
12	0.1261908117289606	0.21048062811951992	0.14404505	0.020934875044949963	0.7401272147896493	0.04071802016141823	0.0	0.0	0.0
13	0.11454953257190553	0.1896431588929547	0.14531645	0.02199694267906991	0.6515273627522701	0.04255706865137997	0.0	0.0	0.0
14	0.10421735377688157	0.1713582051317554	0.14412963	0.02545298833586521	0.5930490632478208	0.04881106166355269	0.0	0.0	0.0
15	0.0951006917282939	0.15521644265198511	0.14534798	0.028686982510174947	0.54670948489996	0.05451352700187141	0.0	0.0	0.0
16	0.08708440820245367	0.1411253793919382	0.14660546	0.03554880167783393	0.48197377176559086	0.06621388478732944	0.0	0.0	0.0
17	0.08011592489324118	0.12885479613646003	0.14783269	0.04377079579786536	0.43968869987146264	0.07961587048800493	0.0	0.0	0.0
18	0.07404090736649538	0.11819884322645251	0.14675227	0.0574240510003511	0.42924865573065846	0.10129681142005532	0.0	0.0	0.0
19	0.06879485589697172	0.10910848968408325	0.14561372	0.0759844060006897	0.40616152723876126	0.1280190923947629	0.0	0.0	0.0
20	0.0642972429920184	0.10134271652368475	0.14804843	0.10404050823778722	0.3376482209354709	0.15906719004338107	0.0	0.0	0.0
21	0.06045416174456477	0.09489111999465415	0.14318927	0.12596333175738977	0.35897880993416076	0.18648891503585127	0.0	0.0	0.0
22	0.05719967895726624	0.08931805341204335	0.13212085	0.12947849545181295	0.3925721111124888	0.1947307240487852	0.0	0.0	0.0
23	0.054445191879609695	0.08463352539938343	0.14756094	0.1513567094087987	0.3054477522494038	0.20241293838927463	0.0	0.0	0.0
24	0.05212962834752704	0.08076356600754517	0.13459222	0.15279334443490375	0.37581265783023976	0.21725698393432283	0.0	0.0	0.0
25	0.05018106280875049	0.07758634472804621	0.1230704	0.15347374977783068	0.38900530268275246	0.2201084160407098	0.0	0.0	0.0
26	0.04852189816730587	0.0750543461142739	0.11467329	0.15399769192009494	0.3915801829280893	0.22105898040441774	0.0	0.0	0.0
27	0.047164596749567675	0.07291036408610088	0.10543236	0.15365924898813363	0.395721483097957	0.22136293593847356	0.0	0.0	0.0
28	0.04600688324456936	0.07132699917847952	0.10548031	0.15350332537462474	0.3964530301339516	0.22131522936626502	0.0	0.0	0.0
29	0.04504375513643026	0.06991592417509596	0.10508942	0.15344849607254615	0.39724243964736955	0.22138099970863043	0.0	0.0	0.0
30	0.04423451993712469	0.06900082353102274	0.10647054	0.15389051028062303	0.3959818642463619	0.22164361758731893	0.0	0.0	0.0
