Epoch	Train Loss 1	Test Loss 1	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.3634305493567184	0.6643882640572482	0.2782293	0.033705011924080756	0.9933242877680706	0.06519776402433186	0.03291279912606751	0.40751193078866554	0.060906472359623993
2	0.345477533763988	0.6278338263201159	0.23366788	0.033699873068175644	0.9940877731746531	0.06518979265235537	0.031211667946010106	0.3181373508119742	0.05684628736080988
3	0.3259629822583091	0.5891829304916915	0.4359425	0.03519714074497318	0.5083005112587514	0.06583551766804503	0.029779264622925	0.24036604765510025	0.052993139722677225
4	0.30604261144401707	0.5511786530184192	0.410024	0.03514008933833289	0.5053358910448904	0.06571077717308567	0.028931233274512424	0.17632472161493112	0.04970663731391112
5	0.28652512081987525	0.5136916598608328	0.23646384	0.034131343542674504	0.9015273961532245	0.06577257276780052	0.0276969567759748	0.1331697191904928	0.04585655710392898
6	0.26716580341345725	0.4763587545516879	0.2170169	0.03455329308102434	0.8923762047757182	0.06653048934885245	0.02627260522390081	0.10109057191224384	0.041706131197868986
7	0.24846891583664993	0.44168709821479263	0.19879012	0.03552869705882525	0.9041942783255212	0.06837088256528263	0.025979966546383734	0.07706311195801042	0.03885941879238319
8	0.2313626489926459	0.41021398416785304	0.18410316	0.03585117073477855	0.8997707417079955	0.06895485036025101	0.028181999491247913	0.05018587360594796	0.036094848782651595
9	0.21586158600485716	0.38171265665874926	0.17594954	0.03603378549984696	0.8825657363061767	0.06924058564508329	0.030920142995325153	0.034195214073651885	0.03247531631572091
10	0.2016667324655804	0.3553415597871292	0.18683451	0.03664360638878672	0.819764276539093	0.07015143153140897	0.033181403828623515	0.023223567242009985	0.027323498208459276
11	0.18862140480835682	0.3312774519587672	0.18678926	0.037979539349555266	0.7771622161918453	0.07241995093538464	0.031868387011177814	0.010216668226246884	0.01547289103754366
12	0.1766029623961738	0.30923593515573544	0.18305826	0.0398038973879473	0.7488898624450248	0.07559013842317851	0.027946514894470895	0.006516209709662876	0.010568250409588687
13	0.165573059557009	0.2889263338820879	0.17240413	0.041585670671404215	0.7561015031517698	0.07883538594088833	0.02794906410770971	0.006516209709662876	0.010568432671081677
14	0.15545040113363975	0.27030132156471876	0.16861494	0.042972719713867145	0.7132272251665206	0.08106140141078183	0.025451339232911475	0.0050338996027323845	0.008405345757288983
15	0.14619929618500754	0.2534662749878196	0.18479477	0.045266443404765974	0.569083732444089	0.08386225830133406	0.0	0.0	0.0
16	0.1377766239529466	0.23796231386273406	0.18192637	0.0485649065091141	0.5230385443161808	0.08887741306915979	0.0	0.0	0.0
17	0.13010975821799173	0.22402527013490367	0.16921306	0.051475887440060805	0.5506409874694819	0.09415027105865875	0.0	0.0	0.0
18	0.12317280358985144	0.21145193916420604	0.1786303	0.056017931155485264	0.46443731763544954	0.09997715556056089	0.0	0.0	0.0
19	0.11691464579291319	0.20012048656164214	0.17671722	0.06413334647327068	0.42627155410750894	0.11149244731812488	0.0	0.0	0.0
20	0.11128384644485223	0.18997728062230487	0.16544817	0.06921558583297543	0.44454628975866206	0.11978129689007339	0.0	0.0	0.0
21	0.1062251294945307	0.1811324912448262	0.17453647	0.08124411596657012	0.3828400806444753	0.13404250407862534	0.0	0.0	0.0
22	0.10170514929387557	0.17308936936910763	0.17422253	0.09383635588727764	0.3610095020969265	0.1489551483115079	0.0	0.0	0.0
23	0.09766934693272854	0.16604216015616127	0.17396542	0.1136843072386454	0.33156746318681785	0.1693155192589113	0.0	0.0	0.0
24	0.09408115665307284	0.16017009754513586	0.17304635	0.1322498338491582	0.3157022789720381	0.18641088073857623	0.0	0.0	0.0
25	0.0909090538862673	0.1546820147439491	0.17188165	0.15249491079359628	0.3041287759563771	0.20313484343893845	0.0	0.0	0.0
26	0.08809156976704788	0.15018328979264858	0.16619359	0.16206884726138707	0.31156372019429535	0.21322339910708765	0.0	0.0	0.0
27	0.08560733809628147	0.1458571318277093	0.1579364	0.16578104535599114	0.3203384856192526	0.21848967436948885	0.0	0.0	0.0
28	0.08341789878323752	0.1424446898144345	0.14947268	0.16690087080868807	0.32963216591665034	0.22160014125495303	0.0	0.0	0.0
29	0.08147486166276387	0.13928192029165667	0.16588214	0.1835661699716125	0.3003475028285114	0.2278656043576613	0.0	0.0	0.0
30	0.07976646934421265	0.13657538852719373	0.15634511	0.18551736049401876	0.3152365316070198	0.2335752160792934	0.0	0.0	0.0
