Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.41424158931702604	0.4668494987104278	0.6666399572716385	0.6210780824224155	0.5517467	0.02056405168148118	0.16506511595227172	0.036571920442474634	0.016219468091025428	0.28915946485474453	0.030716020048851128
2	0.34721853204783854	0.37199389223438806	0.5454757291762555	0.48942070504029594	0.47351846	0.02106378987652038	0.2288047678681397	0.03857624662039747	0.01658635739097406	0.13915099213483612	0.029639750437315728
3	0.2679325812700799	0.29271158320334895	0.42980593491773134	0.3904757258792718	0.4054994	0.02056474445053491	0.22545701024579154	0.03769151070407811	0.013909282575204317	0.04455410761594194	0.021200127830084316
4	0.21060020447701447	0.23698666076557887	0.34831561465732386	0.3215572915971279	0.35128865	0.0213797093232287	0.22193153215707181	0.03900215722306558	0.01821817654220523	0.01193620248560671	0.014422836824179226
5	0.17105222722510652	0.19606682474427825	0.29036887063354744	0.26973944281538326	0.30609462	0.02202728440485358	0.21729840092910607	0.03999983262395052	0.019823788546255508	3.7197306914979355e-05	7.425528140689007e-05
6	0.1411794848759353	0.1644100300348476	0.24585925079271442	0.22920321399966875	0.26815382	0.023397161602388094	0.21367373002194642	0.04217606604720221	0.0	0.0	0.0
7	0.11779316349161996	0.13938568400633558	0.2106542638579353	0.19688363398114841	0.23705347	0.02578308821067068	0.20683769161779353	0.045850714215691216	0.0	0.0	0.0
8	0.09918710776154693	0.11937955481277394	0.1823941213918514	0.17085936106741428	0.15441515	0.030702348539341708	0.5320537459754581	0.05805463400510997	0.0	0.0	0.0
9	0.08425429172679127	0.10330658168319723	0.15954029572303177	0.14980089565118154	0.15613471	0.03911032569798684	0.4611928763024224	0.07210588910747905	0.0	0.0	0.0
10	0.07223860545983918	0.09038173627038423	0.14100390489472717	0.13273169162372747	0.15702914	0.055429784998029516	0.4185440974073477	0.097894884898495	0.0	0.0	0.0
11	0.06258862790018706	0.07998503680683013	0.1259572007006309	0.11889763977378606	0.15691978	0.07956817306287278	0.3960975892012085	0.1325164181560366	0.0	0.0	0.0
12	0.054836105487913435	0.07164701871354202	0.11376079654351609	0.10770452159146468	0.15711619	0.12728216317887858	0.36694316664806803	0.18900415335259219	0.0	0.0	0.0
13	0.04864307452541913	0.06498505278982362	0.10389493570708838	0.09867235937466225	0.15752138	0.15305238199033488	0.3569577562584469	0.21424372093023256	0.0	0.0	0.0
14	0.043710454586094356	0.05968717222998353	0.09594584543441163	0.09141266948233048	0.14282678	0.15245570432133407	0.3929647493521469	0.21968269518474404	0.0	0.0	0.0
15	0.039808912140146396	0.05548388172370499	0.08956650180406257	0.08560376341144244	0.14288817	0.1536335086004089	0.391633912371411	0.22069204845317364	0.0	0.0	0.0
16	0.036728422049173086	0.05216703393144518	0.08447218454274975	0.08097802978008986	0.14282654	0.1542000859352621	0.3915760498939877	0.2212667670128181	0.0	0.0	0.0
17	0.0343071265767018	0.049560248012836754	0.08042819040720581	0.07731500801940759	0.14326102	0.1544626623508981	0.39150165528015773	0.22152505589283547	0.0	0.0	0.0
18	0.0324064375452447	0.0475091151094149	0.07723144710552497	0.07442912720143795	0.14300324	0.15450626978419027	0.3915636507916827	0.22157982627243514	0.0	0.0	0.0
19	0.03092288070428125	0.0459013220831632	0.07471755021786103	0.07216489845886827	0.14351937	0.15451640631753732	0.39153058651886935	0.22158495508982037	0.0	0.0	0.0
20	0.02973663410802374	0.04463404466974831	0.07274792044133437	0.07039211153363188	0.14342268	0.15451541239450772	0.39152232045066604	0.2215826092855113	0.0	0.0	0.0
21	0.028819124741378682	0.043635422538656335	0.07120703667646548	0.06900886545578638	0.14347497	0.15451443261300762	0.39150578831425936	0.22157895413966402	0.0	0.0	0.0
22	0.02808464569754379	0.04284150589846734	0.0700035737980096	0.06792764868587256	0.14350453	0.15450401598238675	0.39155538472347934	0.22157618508574153	0.0	0.0	0.0
23	0.02750021663015511	0.042210385243311006	0.06906160333606064	0.0670824373451372	0.14339526	0.1545061647857003	0.3915512516893777	0.22157773300136943	0.0	0.0	0.0
24	0.027032992275532824	0.04170337053709951	0.0683219628561227	0.06641599647700787	0.14333539	0.15450161532051188	0.391559517757581	0.22157437811643418	0.0	0.0	0.0
25	0.026654308175701812	0.04130058083433568	0.06773874273554223	0.06589430381233494	0.1438467	0.15447481789242573	0.39169590788293596	0.22156864578754923	0.0	0.0	0.0
26	0.026347423232225484	0.04098156508028347	0.06728286577052757	0.06548554468899966	0.14357957	0.15448001330164413	0.3916752427124276	0.22157068356614543	0.0	0.0	0.0
27	0.026119334993821398	0.040724348027169226	0.06692499410910685	0.06516381039594611	0.14367446	0.15432550009584425	0.3926382396581154	0.22156530054166884	0.0	0.0	0.0
28	0.025933190987707723	0.040523024750299175	0.06664246116138872	0.06491097643350562	0.14312124	0.15453460717917578	0.39128673750687115	0.22156459385012156	0.0	0.0	0.0
29	0.025780565372502156	0.04036393171381056	0.06642335250240858	0.06471372805535794	0.14344504	0.1543241860427343	0.39268783606733537	0.22157184200891308	0.0	0.0	0.0
30	0.025667482910037658	0.04024017579234317	0.06625470757240155	0.0645683218104144	0.14354157	0.15432582043102272	0.39268370303323374	0.22157286862833123	0.0	0.0	0.0
