Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	nan	0.4985097513116639	0.4221142166620725	0.42255788978624653	0.34361583	0.12498012784649966	0.8379498438470637	0.2175175385366198	0.0	0.0	0.0
2	nan	0.46749758206564807	0.3517917342629139	0.3544711595183456	0.29813373	0.12888833237988925	0.8822521169849789	0.22491831707108006	0.0	0.0	0.0
3	nan	0.45255934061675235	0.34803061153401027	0.3253817491281729	0.28075978	0.13234452972803362	0.7972978348362844	0.22700774195900394	0.0	0.0	0.0
4	nan	0.4431297604379983	0.31920758298561946	0.28618126744767286	0.23935263	0.1315070715452084	0.8024400665022909	0.22597969186322756	0.0	0.0	0.0
5	nan	0.4337277504904517	0.30568538946039103	0.29131292492489924	0.24751258	0.13141287371188057	0.7851679546983322	0.22514365143847212	0.0	0.0	0.0
6	nan	0.42986052714545153	0.29101771136818383	0.2809712382686603	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
7	nan	0.4284064317571706	0.29055247206676316	0.2839562115803748	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
8	nan	0.42900979929956895	0.29240797679000474	0.29167129209434445	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
9	nan	0.4294583150025072	0.29531089172928365	0.2989157622365595	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
10	nan	0.4294423748706949	0.2926352000130074	0.28811686841601675	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
11	nan	0.4294017841076029	0.29197022410762774	0.2895744824056308	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
12	nan	0.4301988009748788	0.29211388090504453	0.29300626328626234	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
13	nan	0.42983552402463454	0.2938763990079041	0.29802199072119867	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
14	nan	0.4298507334857151	0.29222647494987236	0.2877287963502012	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
15	nan	0.4298041987008062	0.2926286874435745	0.29301329432418205	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
16	nan	0.4298291226913189	0.28985928725935034	0.2916036779665715	0.24536784	0.13153866474668102	0.7538342615829342	0.22399228451673658	0.0	0.0	0.0
