Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.6330762996283951	0.6067513967382496	0.5648373719644837	0.5413269130744744	0.25823757	0.11426470256452398	0.9057079854593756	0.2029278916660655	0.11433305997986352	0.19145269207959018	0.14316803173083217
2	0.5071020892390017	0.5320628634814558	0.4530789196249438	0.4075599836670542	0.22946964	0.1324009084113171	0.8251593970178415	0.22818793370999743	0.15495150321578469	0.05252297347012695	0.07845315551637286
3	0.41467253709581575	0.48442516141924363	0.38171331218725285	0.3219676478881741	0.20937365	0.16116643551375784	0.8116749750804448	0.26893337620061436	0.1065066649525539	0.007537276982064175	0.014078261774633108
4	0.35747786702349027	0.45566636734995347	0.3384273226012081	0.26079673163135647	0.18815212	0.1942235960021029	0.7375534427083363	0.30747759589525747	0.0	0.0	0.0
5	0.3217679658056697	0.436169879189853	0.3114427751870958	0.22302905221780142	0.12936653	0.21168263521494163	0.7342901608555155	0.3286277933318535	0.0	0.0	0.0
6	0.29901115344656115	0.42196181519278164	0.2952414852912721	0.21317513467462898	0.093370974	0.21351119839383537	0.7836288899667303	0.33558683548249235	0.0	0.0	0.0
7	0.2843069319363234	0.4097772507831968	0.2853207966618799	0.2094291893033246	0.06356529	0.21268741134182964	0.8670464257141379	0.3415839227584885	0.0	0.0	0.0
8	0.27457613490434934	0.39863587967280684	0.27969792417229794	0.20684471410107652	0.0460706	0.21327457602676475	0.9351267073378068	0.34733286165348426	0.26666666666666666	1.1372301281828938e-06	2.2744505567144196e-06
9	0.26786459716841404	0.38893940017141143	0.27646419643207204	0.20741368190170717	0.049962323	0.21543524792455127	0.957556297155958	0.35173549058335307	0.5289256198347108	1.81956820509263e-05	3.639011223790945e-05
10	0.26293936965530484	0.3802397847175598	0.27511112183392894	0.20627356612217762	0.047267515	0.21641948939276934	0.971895063227152	0.3540090169950971	0.7479579929988331	0.00018224112804130874	0.0003643934710467785
11	0.2589762421317601	0.37282252825539686	0.27402380350637146	0.20685350337678915	0.05083488	0.21729017675501697	0.9797783424757158	0.35569594521472914	0.6005617977528089	0.0003039247517568784	0.0006075420462857244
12	0.2556833824874826	0.3665494230286828	0.27383615860893085	0.2067247833778609	0.050234973	0.21771221294707824	0.9881972571146538	0.3568138687287209	0.5151887081926971	0.0004773523463047697	0.0009538209219681887
13	0.2530176075863931	0.3610076256867113	0.2736429148041936	0.20587546349955632	0.04986994	0.2179520331631221	0.9911139680859109	0.35732590978083584	0.5196938585028934	0.0007915121692152942	0.0015806170027039114
14	0.2509782681205393	0.3559842109680176	0.2734892613445286	0.2065573978433957	0.04986994	0.2179520331631221	0.9911139680859109	0.35732590978083584	0.5196938585028934	0.0007915121692152942	0.0015806170027039114
15	0.24940574075229438	0.35092441994568396	0.2727553890092378	0.2090759200119656	0.04986994	0.2179520331631221	0.9911139680859109	0.35732590978083584	0.5196938585028934	0.0007915121692152942	0.0015806170027039114
16	0.24819014811098344	0.3460359090361102	0.2723854635417099	0.21138412900775622	0.04986994	0.2179520331631221	0.9911139680859109	0.35732590978083584	0.5196938585028934	0.0007915121692152942	0.0015806170027039114
17	0.2472880415879335	0.34166503980241975	0.2721470856158777	0.21200332214830328	0.04986994	0.2179520331631221	0.9911139680859109	0.35732590978083584	0.5196938585028934	0.0007915121692152942	0.0015806170027039114
18	0.24657051141160008	0.3374875383130435	0.27216347953792036	0.21453121846934062	0.04986994	0.2179520331631221	0.9911139680859109	0.35732590978083584	0.5196938585028934	0.0007915121692152942	0.0015806170027039114
