Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.47109002204317796	0.41664691641926765	0.598804063787145	0.5989956896236609	0.44840145	0.015875362927769966	0.4872268581088063	0.030748833446601072	0.012981163105615033	0.24715130624542783	0.024666750953016688
2	0.39213830311047404	0.33799662441015244	0.4902333886909091	0.4926027489081998	0.37804547	0.015977783833419478	0.4929056469644931	0.03095223542696942	0.010261344775552309	0.09789091269792068	0.018575523600757607
3	0.3157905530772711	0.2678491361439228	0.3932033028484376	0.39714789927472643	0.3263214	0.0164959263635207	0.43030257942658284	0.03177378425517175	0.011858218359236162	0.04095423491339227	0.018391278202187132
4	0.2519229076214527	0.2130108755081892	0.3171612551389647	0.3224969096190002	0.15289797	0.016702356827487278	0.8866308745913463	0.03278707065482821	0.011929796182465221	0.00853471541993693	0.009950632334977314
5	0.20236137438761562	0.17054812796413898	0.25748810215183526	0.2642333801670423	0.15487081	0.018323939260284635	0.8059953792678743	0.0358332263767517	0.008513577766015664	0.00392224936247949	0.005370350459224384
6	0.16360019461104744	0.13753569312393665	0.2108100820178828	0.2184400098208659	0.14823614	0.02126973647494119	0.7403297334606308	0.04135144247567074	0.0	0.0	0.0
7	0.1334549769955246	0.1120294975116849	0.1742442432513907	0.1828721421661327	0.15132701	0.02590272051239195	0.5796704318607333	0.04958952069438694	0.0	0.0	0.0
8	0.11025774176967772	0.09247272089123726	0.14609250764955173	0.15564061323905426	0.15327944	0.036893256465531835	0.4729885556285725	0.06844758010252694	0.0	0.0	0.0
9	0.09261138780336631	0.07801843155175447	0.12451055522792595	0.1349421517228022	0.15594722	0.05973366952575977	0.406533500307911	0.10416233151137677	0.0	0.0	0.0
10	0.07938043638867767	0.06721984222531319	0.1083309387495695	0.11950964581795212	0.15231985	0.104475918682943	0.3920348166792724	0.16498413714412935	0.0	0.0	0.0
11	0.06949753769624391	0.05953114898875356	0.09595492534524153	0.10788360533764095	0.14536843	0.1314680309059138	0.38713717126880015	0.19628095277011184	0.0	0.0	0.0
12	0.06229791534378341	0.05423449072986841	0.08697918309899401	0.09951755507574381	0.14516269	0.15740106627367692	0.3752175009196001	0.22177084452956294	0.0	0.0	0.0
13	0.05708888689252107	0.05034318286925554	0.08062534409859949	0.09341728224299907	0.14193664	0.15800184854060312	0.37799489983591855	0.22285169861157816	0.0	0.0	0.0
14	0.05323141942683019	0.04783369554206729	0.07598370502987677	0.08849644511159967	0.15441404	0.20389130831777985	0.27225535537893725	0.23316555522519078	0.0	0.0	0.0
15	0.05014790897992881	0.04531447635963559	0.07261734301886283	0.08483219364604502	0.15192215	0.23720880924428808	0.24969312221795142	0.24329091494845365	0.0	0.0	0.0
16	0.047409192556025166	0.043515925761312246	0.06999346187476777	0.08171732652708694	0.1459616	0.26409528164184093	0.24826722545287722	0.25593677101862994	0.909433962264151	0.0009960612185011138	0.0019899429439595735
17	0.044926118434063696	0.04201545100659132	0.06785776675486367	0.07876333519427334	0.15738486	0.41063040005087076	0.21351667472608316	0.2809480044158994	0.853619981030667	0.011159192074493807	0.022030385613342255
18	0.042730290883857956	0.04041880462318659	0.0662416871637106	0.07631218253437906	0.15927774	0.4933991327609685	0.21115671225403282	0.2957452966714906	0.8264058679706602	0.030733241579976277	0.0592625652019717
19	0.040889774586417175	0.03961335541680455	0.06469157863069665	0.07398897034964735	0.15559919	0.5454487234224233	0.21120630866325277	0.3045039193662276	0.8293471234647706	0.04772414477191851	0.09025465459832105
20	0.03938867036057146	0.039239858742803335	0.0637543415419819	0.07229158504046597	0.14458965	0.5430266440265812	0.21412423073902784	0.30713868608811384	0.8353060706121412	0.06795947973366728	0.1256927510529816
21	0.03820202519725028	0.038905779365450144	0.06280137278324316	0.07077446826988973	0.13515925	0.5524900856217464	0.21362000057862476	0.30810959034765606	0.8590538732822571	0.08758725868247139	0.15896662691000743
22	0.037234390752488064	0.0387862641364336	0.061821463002153666	0.0691739724992772	0.12636106	0.5635003366125915	0.21448380470587264	0.31070478106374255	0.8800902656682736	0.10638429777684096	0.18982300884955752
23	0.0365102886026235	0.03914544964209199	0.061607263720602046	0.06812477632189855	0.115814805	0.5426271047899297	0.2194971750711915	0.3125608769219451	0.8753501004328514	0.12788020813959736	0.22315903353768482
24	0.035974531699168054	0.03915408346801996	0.06136963953656598	0.06741892702041033	0.11293618	0.5570082961613037	0.21727773575859774	0.3126118679645828	0.8805026496668241	0.13871702355416135	0.23967493956889502
25	0.03556133821655653	0.039311534725129604	0.06151783180015146	0.06679953984896757	0.09878188	0.5495127513995438	0.21907560559282174	0.31326219737421435	0.8939883645765999	0.14289965406504568	0.24641161965306385
26	0.035264962492510675	0.039916463661938906	0.06091629819990682	0.0662289806021567	0.10436601	0.5482943715807584	0.21995180882237458	0.31395753567699264	0.8824037630795815	0.15196339784999566	0.2592755825555936
27	0.03504917342215776	0.040320982690900564	0.06104781650283859	0.06578861208092762	0.09444352	0.5332723691615081	0.21932772067302328	0.31081955690920005	0.885858707425683	0.1521080540435539	0.25963498860662154
28	0.03489930378763299	0.04035516222938895	0.06117226083355009	0.06584486454803079	0.09444352	0.5332723691615081	0.21932772067302328	0.31081955690920005	0.885858707425683	0.1521080540435539	0.25963498860662154
29	0.034770735625275655	0.04060515062883496	0.06098509104229695	0.06548607026472415	0.10330336	0.5908223610139963	0.206044149070274	0.305535466947771	0.8900308077404447	0.15283546804544684	0.2608738593514661
30	0.034641869942118465	0.04055143892765045	0.06096493846098007	0.06518461923394596	0.09846805	0.5553857577942554	0.2132934908845933	0.30821741908897077	0.8820482636845203	0.15484412261885572	0.2634410114334735
