Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.6854712591542826	0.6708955558446738	0.6781449964705933	0.6633300559465275	0.42648166	0.3033645018943602	0.8919284511850013	0.4527416138814649	0.33940710779897204	0.5471968673184152	0.41895256810372705
2	0.643617793917656	0.616815230403191	0.627454585217415	0.6071828603744507	0.51383704	0.5006534402347301	0.5364215735862858	0.5179206955196226	0.4654493285918783	0.5739312681083296	0.5140290750991541
3	0.5873020645472911	0.5638343019363208	0.571876401596881	0.5553533226944679	0.5277771	0.6372979891238758	0.5319125941027909	0.5798558984573543	0.565972943270175	0.5643759494579281	0.5651733182215583
4	0.5363692426449292	0.5134114072873042	0.5196500204979105	0.5053061073602632	0.49024078	0.6610616438203644	0.64168700678984	0.651230254321076	0.6736594026660814	0.6262648271067914	0.6490981238394976
5	0.4906015515133932	0.4729630320500105	0.47561017503129677	0.46724498895711675	0.4606327	0.6759380308811185	0.7344824962540454	0.7039952165798713	0.6952409768988624	0.6496432156502657	0.6716691093354644
6	0.4558964412320744	0.44108698937373286	0.4420277362174176	0.43783552112967467	0.47553226	0.7219214706931649	0.7435769738565652	0.7325892218262108	0.7482169152235514	0.6910627098318233	0.7185050076096249
7	0.4283384672039515	0.4149965108969273	0.4149136809592551	0.4141792998064396	0.5052863	0.796174998232239	0.7155439178060162	0.7537091339536798	0.7806452996853663	0.7236912071009294	0.7510901140780799
8	0.4057919188559829	0.39317270654898423	0.39248760266506927	0.3947147727012634	0.46842822	0.7684892126465387	0.7622712979030435	0.7653676267599154	0.7978184627136282	0.7215426329846332	0.7577659265595245
9	0.38709877673294635	0.374911503914075	0.37361563900683786	0.3784414127815601	0.440503	0.755452632702125	0.7835542862972849	0.7692468969966281	0.7976426434167588	0.7223467271207118	0.7581297133417091
10	0.37134767768831994	0.35901754273053926	0.3574989507807062	0.3646875581769056	0.41933894	0.7492954302307809	0.7947951764727244	0.7713749324230347	0.790237464573947	0.7374766661392501	0.7629459977047703
11	0.3579950574543569	0.34546517351498973	0.34364087213861183	0.35294081617233364	0.3945813	0.7411213495787341	0.8053448050763414	0.771899503933889	0.7901927075688918	0.7378034914977852	0.7630999854011759
12	0.34654612839221954	0.3336179678638776	0.3316223145799434	0.34285739618678424	0.3931943	0.7412618606585264	0.8053119496170178	0.7719606141232941	0.7903048908139994	0.7376578034742054	0.7630743499328075
13	0.33668298893547677	0.32338883441228133	0.3211591345198611	0.3341591458681018	0.39225385	0.7412737852489183	0.8054338606634555	0.7720230881893166	0.7906119358767569	0.7372064732171807	0.7629758006080887
14	0.3281814988170351	0.31436934971656555	0.3119748678613216	0.32663236662398937	0.39125466	0.7380662618931452	0.8096099624669608	0.7721845036890677	0.792317040892027	0.735040606753872	0.7626048808886804
15	0.32079217757110473	0.3063988658862236	0.30394770617180683	0.32009754832400833	0.39134717	0.7368469428878709	0.8109635209293599	0.7721307035445182	0.7947141141739312	0.7313097828859371	0.7616947642991292
16	0.3143807283856652	0.2996014175124658	0.29688013868129	0.31439216434955597	0.39101714	0.7368468188202909	0.810967844016113	0.7721325949113091	0.7906910140783616	0.7364123221806341	0.762587039107946
17	0.30880563222355656	0.29335279246935475	0.2906795416740661	0.30941974146421564	0.39159942	0.7414197849664304	0.8055626886486982	0.7721614505420554	0.7901605742826672	0.7382872449054584	0.7633436563505775
18	0.3038975677706979	0.28815877514007765	0.2852381518546571	0.30507375334584436	0.3906688	0.7416516188912234	0.8055808456130612	0.7722955043967578	0.7901570644779083	0.7383399865638464	0.7633702086272589
19	0.2996486746645593	0.2833474515340267	0.28046167721139625	0.30127260331497635	0.39056057	0.7416684146236134	0.8055683086614772	0.7722988491217395	0.7901531631479455	0.7383421481072229	0.7633695432579278
20	0.2959017654905072	0.2794690953615384	0.2762522722812409	0.29795243192550747	0.39057162	0.7416838750045774	0.8055501516971142	0.7722988865425624	0.790148724940516	0.7383451742679501	0.7633690894231506
21	0.2926315569451877	0.27588247526914644	0.2725569615338711	0.2950420715781145	0.39052647	0.7416704412208381	0.8055644178833994	0.7722981598143236	0.7901477937346115	0.7383507942807291	0.7633716585379807
22	0.2897852296372513	0.2726179437759595	0.2692982316651243	0.2924973607756371	0.39062494	0.7414414231658232	0.8058346108054689	0.7722980871595012	0.7901454746489202	0.7383551173674823	0.7633728867610774
23	0.2872669013676705	0.2697661312726828	0.2664727305478238	0.29025944305020707	0.39073515	0.7414552378770286	0.8058207769278589	0.7722992279675973	0.7901439381777824	0.7383564142935082	0.763372862852718
