Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.45816545984868345	0.3605147279798985	0.6270777826959436	0.6240500329356444	0.48650324	0.4405461902272012	0.6767545896050514	0.5336819978126934	0.45196177375367835	0.6437210191071788	0.5310611711598773
2	0.38645699703744774	0.3031616322696209	0.5415676710280505	0.5684521747262854	0.4915741	0.5834828705958189	0.7184511936474834	0.6439711139996509	0.596260987944602	0.6939535579436287	0.6414087259608132
3	0.3370701359777615	0.26143223986029623	0.4809679930860346	0.5291591498412584	0.49699008	0.6741447259045706	0.7555467364585792	0.712528347502413	0.6773062010968351	0.7506767792311996	0.712106579135689
4	0.2992897016991829	0.22919230356812478	0.4333711492292809	0.5003783079354387	0.4930908	0.7190949001108584	0.7734028139836293	0.7452607987469329	0.7272342738995952	0.7633287249228545	0.7448444801789952
5	0.26975321127422924	0.2038333858549595	0.39580042840856494	0.4793210139400081	0.4999529	0.7352839720207978	0.7832676656455536	0.7585177165741663	0.7353126202369917	0.7832244347780225	0.7585126875479116
6	0.24631589898389988	0.1833441934734583	0.36565753366007947	0.46350204042698206	0.51451343	0.7568228744261877	0.7870737112229926	0.7716519280500925	0.7449449455920314	0.7970954909340547	0.7701383738849549
7	0.22746878444891552	0.16654127776622774	0.34101854761441547	0.4507066125148221	0.46507815	0.7325954593991305	0.8331370651947421	0.779638183957508	0.7526648162817745	0.8071349953008047	0.7789488220751828
8	0.21159978259097914	0.15221324160695077	0.3192504888231104	0.44016272300168086	0.43128815	0.7231234236702485	0.8877151708354192	0.7970104959839529	0.7561825138395908	0.827146563880956	0.790074251512831
9	0.19522978076390152	0.13919281683862209	0.29460444188479223	0.4315976888725632	0.43117723	0.7369507937427799	0.9180900429801285	0.8176078449414416	0.7643884843511211	0.8564804367355161	0.8078182935036409
10	0.17815827687495742	0.12709610607475041	0.2717261989459847	0.4251250854056132	0.44626346	0.7577495152387607	0.9338987066189052	0.8366530145912607	0.7811404266303265	0.8896086828332819	0.8318535704807676
11	0.16259126959304357	0.11663666725158692	0.2509287537047357	0.41455352796535744	0.47423923	0.7974556954675253	0.9321418041624409	0.8595546546196385	0.8064891151203176	0.9113905554388322	0.8557369589752883
12	0.1490175798535347	0.10830091804265976	0.2328522572237434	0.4083681604579875	0.47976497	0.8070455226947125	0.9424605799334418	0.869512361470406	0.8139365421086154	0.9319645576055633	0.8689610305067584
13	0.13723146485100532	0.10163139324635267	0.21617712351408871	0.4020037453033422	0.50051224	0.8223213955737041	0.9426698173322924	0.8783925427907332	0.8221151417881812	0.9429110455731159	0.8783795430070934
14	0.12607134610478735	0.09598109573125839	0.20011657024874832	0.39702240710980014	0.5392734	0.8426735884977659	0.9330224169340496	0.8855494925050273	0.8302333264333567	0.9484458935431241	0.8854113550039419
15	0.1154000199207201	0.09124430034309626	0.1861377630495664	0.3940941705123374	0.5527342	0.8542059304118932	0.9340469884945369	0.8923441068317375	0.8364918016233139	0.9526012445302144	0.8907788591307398
16	0.10629634708487268	0.08772947184741497	0.173238707762776	0.3911480972249257	0.5576753	0.864388986212024	0.9368647764402147	0.8991688024373717	0.8445320747805493	0.9548345511468717	0.8963025021502743
17	0.09845290159613922	0.08506351970136165	0.1620581102642146	0.38854712718411494	0.5530617	0.8732217353627322	0.942259556399422	0.9064279854986428	0.8541679199270719	0.9575892220259541	0.902926749929378
18	0.09163272115883642	0.08315859358757734	0.15210682447209503	0.3863379759223838	0.5616185	0.8851141911728926	0.9436118179357953	0.9134273880869652	0.863695354487284	0.9600711061309152	0.9093367733735644
19	0.085501233436938	0.08213993664830924	0.1552080579779365	0.38426805287599564	0.5616185	0.8851141911728926	0.9436118179357953	0.9134273880869652	0.863695354487284	0.9600711061309152	0.9093367733735644
20	0.07960833586623957	0.08097832407802344	0.13400678076978886	0.38096440465826736	0.5729313	0.9090193577871297	0.9441660376575441	0.9262594096689803	0.8875162693956717	0.9621859601705371	0.9233439633531898
21	0.07396875381277039	0.08024019565433264	0.12606818183805002	0.37737987798295525	0.56837595	0.9159038122245596	0.9475103775697509	0.9314390452658947	0.8951432000421076	0.963134877712845	0.9278951808435736
22	0.06844438004692824	0.07938864167779684	0.1181568717301795	0.37594827813537496	0.5665417	0.9251218833701582	0.9517465702791245	0.938245381956046	0.9047365445293549	0.9650257958586558	0.9339091766557535
23	0.06414647402787774	0.07869111467152834	0.11213637024841526	0.3761544625617956	0.56567824	0.9340085589956926	0.9532401967523243	0.9435263897604448	0.9158137743710337	0.9663910266552883	0.9404228627584943
24	0.06046109628092883	0.07792696986347437	0.10576651792860392	0.3757922346458623	0.5669707	0.940068224951998	0.95224761603381	0.9461187257760627	0.9221082786715346	0.9654399475696038	0.9432767394632001
25	0.057604873014999364	0.07713339816778898	0.10159339134891827	0.3794533848566444	0.5630624	0.9432726453041844	0.9551799657784452	0.9491889634765066	0.9272332328763716	0.9669768049103349	0.9466880768735907
26	0.05502128971194656	0.07633096426725387	0.09721964806544059	0.3833852532858911	0.5820354	0.9513320919820568	0.9523989240701689	0.9518652091050218	0.9307749478127928	0.9680355288561717	0.9490396539550118
27	0.052888624739415684	0.07548259858042002	0.09397565844384106	0.38725873406388256	0.5820354	0.9513320919820568	0.9523989240701689	0.9518652091050218	0.9307749478127928	0.9680355288561717	0.9490396539550118
28	0.050638328145804073	0.07471131417900324	0.08991204382795276	0.39209359599963617	0.5820354	0.9513320919820568	0.9523989240701689	0.9518652091050218	0.9307749478127928	0.9680355288561717	0.9490396539550118
29	0.048629522981957114	0.0739300175011158	0.08650797989332315	0.39896860640299947	0.5820354	0.9513320919820568	0.9523989240701689	0.9518652091050218	0.9307749478127928	0.9680355288561717	0.9490396539550118
30	0.046773322151395784	0.07319729398936033	0.08356486588264957	0.4030464172951485	0.5820354	0.9513320919820568	0.9523989240701689	0.9518652091050218	0.9307749478127928	0.9680355288561717	0.9490396539550118
