Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Test Loss 1	Test Loss 2	Test Loss 3	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.45146872825694806	0.444839118457422	0.43045942774813645	0.689697340130806	0.6773921354611715	0.6433090668506724	0.2763391	0.10913300849037699	0.998557139274868	0.19676178393112537	0.1013195385660992	0.29261755689988794	0.15052086326810898
2	0.4055311098243251	0.38988920755502654	0.37373452780732686	0.6225586503744125	0.602460507551829	0.5684382942303148	0.20427081	0.10934075226595233	0.9936676183387456	0.19700369967620787	0.11843821482265593	0.1731756980744988	0.14066969800473475
3	0.3516316030964707	0.339293965751805	0.3268755614093155	0.5533246368169784	0.5375946199893952	0.5091711018608991	0.2409052	0.11344431571258005	0.9116204448957984	0.20177877834649727	0.150464349936949	0.11944441759317753	0.13317186256092203
4	0.310104176402092	0.3000480686200828	0.28994665793172875	0.4998909913003445	0.4875643523534139	0.46246974588071227	0.24884652	0.12461553796297818	0.8299599296964335	0.2166950788719379	0.1966702564860876	0.08016420465820832	0.11390138804225891
5	0.2765168925126394	0.26700322329998016	0.25821171852813407	0.4566063717007637	0.4454431200027466	0.4226866690885453	0.240747	0.13709829467134332	0.7946978351118665	0.233853124069519	0.21379240216567483	0.0514064977917834	0.08288359153520501
6	0.24817347034360424	0.2406734792833648	0.23364615027502084	0.42111406847834587	0.41286131024360656	0.3929181534934927	0.24738939	0.15552616961363142	0.7539255762487214	0.2578589959966061	0.21407193586799353	0.022897844323430522	0.04137055668078063
7	0.22700491777875206	0.2205997079429103	0.21455884848240833	0.39474193230271337	0.38810728947321577	0.36980246527800487	0.24902564	0.17569717568297574	0.7422473600624112	0.28413648045786255	0.21312102215247852	0.007606648019883332	0.014689020183883144
8	0.21023337105006884	0.20458053543073376	0.1993109186648563	0.37406343296170236	0.3685475766658783	0.35140990201758326	0.24920538	0.19236158610332518	0.7168965103524901	0.30333158503812163	0.0	0.0	0.0
9	0.19670777293768796	0.19161627927749622	0.18698653339105806	0.35747606828808787	0.35281008382638296	0.3365534443861593	0.2493762	0.21358227537012076	0.7056669314517482	0.32791531992503825	0.0	0.0	0.0
10	0.185737099701708	0.18106677101516142	0.17696057378676286	0.3439710929989815	0.33997320353984833	0.3244328785431448	0.24296941	0.21862473693616805	0.6987087889124611	0.3330414094037631	0.0	0.0	0.0
11	0.17668613926930862	0.17242105845816252	0.16876720741486093	0.3328526258468628	0.329407843152682	0.31448572129011154	0.21093704	0.21833135185141495	0.7445829464381668	0.33765372795921544	0.0	0.0	0.0
12	0.16921157611138893	0.16532344870814464	0.16205283868939255	0.3236655469983816	0.3206616614262263	0.30630133967235607	0.17941514	0.21818031984334205	0.7602434582258414	0.3390558663687628	0.0	0.0	0.0
13	0.16317616245060257	0.1594738921650299	0.1565260709660828	0.31606663204729557	0.31343125422795615	0.2995482642183859	0.15363853	0.2180673304412503	0.7833727288803571	0.34116470204544963	0.0	0.0	0.0
14	0.15807160644820242	0.15465087584424309	0.15196725873241	0.3097642622888088	0.3074231485525767	0.2939692093108697	0.11344684	0.21431684766258938	0.9999508147969561	0.3529803404478973	0.0	0.0	0.0
15	0.1538537969191869	0.15066543325963544	0.14819741163663802	0.30452095083892344	0.30243224163850146	0.28930867956113565	0.113723755	0.2177756634745931	0.9999510991044881	0.3576582542842594	0.0	0.0	0.0
16	0.15045536313996172	0.14736671109751956	0.1450732608509671	0.30012611076235773	0.2982333840926488	0.28542487090699886	0.11361805	0.217870571692281	0.9999522363346163	0.35778631170190067	0.0	0.0	0.0
17	0.14757501961606923	0.14461837958817075	0.14247866760298705	0.29644695557653905	0.29471020301183065	0.28214747833196446	0.11366788	0.21796174856987682	0.9999522363346163	0.3579092458404492	0.0	0.0	0.0
18	0.145222480820887	0.14235086543712674	0.14032544876644565	0.2933346465229988	0.2917419151465098	0.2794241654494452	0.11384794	0.21798857743944816	0.9999522363346163	0.35794541580476863	0.0	0.0	0.0
19	0.14323536216309576	0.1404669787280443	0.13851965465553248	0.2907381698489189	0.28926444093386333	0.2771373718740448	0.11384034	0.2180011295658659	0.9999522363346163	0.35796233769868635	0.0	0.0	0.0
20	0.1415599477110487	0.13889429913606585	0.1370260049203399	0.2885596644133329	0.2871876945098241	0.2752289149180922	0.11389088	0.21800117010252312	0.9999522363346163	0.3579623923467912	0.0	0.0	0.0
21	0.14017510563135147	0.13760039246663813	0.13577950337700023	0.28674282804131507	0.2854501074552536	0.2736379001191053	0.113910675	0.21800117010252312	0.9999522363346163	0.3579623923467912	0.0	0.0	0.0
22	0.13906703731327347	0.13651980037187658	0.13474407951068726	0.2852190714329481	0.283991543451945	0.27231586420977555	0.113826774	0.21800117010252312	0.9999522363346163	0.3579623923467912	0.0	0.0	0.0
23	0.1380918562412262	0.13562549232709697	0.13388766685299053	0.2839588403701782	0.28279371082782745	0.27120101274479	0.11405523	0.21800121063919542	0.9999522363346163	0.35796244699491275	0.0	0.0	0.0
24	0.13735040146293062	0.13489033638431533	0.13316839847974715	0.2828969474881887	0.2817809214194616	0.2702996034234289	0.11399191	0.21800121063919542	0.9999522363346163	0.35796244699491275	0.0	0.0	0.0
25	0.13669522174380042	0.1342735071552963	0.13257640438854315	0.28202911019325255	0.2809570489327113	0.2695371870483671	0.1138743	0.21800112163240654	0.9999519520270843	0.35796230878655916	0.0	0.0	0.0
26	0.13618970707510458	0.13377800202224313	0.13207333616817454	0.28130827397108077	0.2802620776494344	0.2688822127366192	0.11398668	0.21800116216907237	0.9999519520270843	0.35796236343467086	0.0	0.0	0.0
27	0.13577967990528453	0.1333683808220596	0.13166392856769882	0.2806854244321585	0.2796756273508072	0.26836657811882636	0.1139352	0.21800109225325176	0.9999513834120202	0.3579622327462316	0.0	0.0	0.0
28	0.13541757401191826	0.13303975006792604	0.1313225439850502	0.28018996603786944	0.279197305838267	0.2679257817053921	0.11385311	0.21800115981439003	0.9999513834120202	0.35796232382644	0.0	0.0	0.0
29	0.13511662650288958	0.13275358314830354	0.13103771770883138	0.2797669056802988	0.2787927055358887	0.26756153634143254	0.11391894	0.21800114865684875	0.9999519520270843	0.35796234521863174	0.0	0.0	0.0
30	0.13489385676203353	0.13253176652985374	0.13080705182662436	0.2794237796217203	0.27846579869588217	0.267260582477012	0.113963224	0.21800115423561767	0.9999516677195522	0.3579623345225386	0.0	0.0	0.0
