Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Test Loss 1	Test Loss 2	Test Loss 3	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.5054048695243322	0.47294474430590366	0.44760479835363537	0.6791385851725183	0.6320098674815634	0.621573024562427	0.5774762	0.025499319828139303	0.30322831293681	0.04704268799971274	0.02180477255206384	0.50442027997173	0.041802530771507175
2	0.43500684631558567	0.41633434768495614	0.3974041352560232	0.5945154524812795	0.5619742041048796	0.5544805803469249	0.54843235	0.027538269034495026	0.25659942220183257	0.04973858900551663	0.02313453807709023	0.3661000276913285	0.04351902824420749
3	0.3855740521580745	0.36994869898817395	0.3529147479560349	0.5298127646398063	0.5010298384272533	0.4945914638893945	0.49085674	0.024671439156503983	0.2837658553520725	0.0453960150711755	0.024629393672495913	0.254611432798932	0.0449141000702831
4	0.34198876413015217	0.3288377300321057	0.31377976215802705	0.4722563127676646	0.4472597863363183	0.44184262518371853	0.42050496	0.025318421549044283	0.4049505482469736	0.047657207034446765	0.01836375897945984	0.10995523924067897	0.03147143509460121
5	0.3039685703622989	0.2927429463776796	0.2792353895339337	0.4218765590528045	0.3997337281703949	0.3951059090239661	0.39328435	0.02613635012461353	0.3906502502552149	0.048994721555987636	0.009563472747623649	0.03199381698098391	0.014725310470835194
6	0.27023586745445544	0.26035211414265236	0.24812225489825993	0.3768300504395456	0.35683781530546105	0.3528938836285046	0.35834897	0.026227882428396968	0.3910966179381946	0.04915904100725461	0.011124953381525594	0.028972569052667253	0.016076727961580977
7	0.23985338363891992	0.2311400471452894	0.22015684024318233	0.33613182619364573	0.3181568671827731	0.3148482175809996	0.32397568	0.02605204860355781	0.3880588378734713	0.048826186586527355	0.01296356882153804	0.02309126152599885	0.016604996061997532
8	0.21259888696173826	0.20496987563937735	0.19519599830056286	0.299565013911989	0.28347048526224883	0.28076588788202833	0.29052934	0.026044888099482806	0.39053865833446993	0.04883311279052671	0.012561875242429958	0.014589610378875236	0.013500024858402715
9	0.18829884571142685	0.1816628497489338	0.17303366795345976	0.2668788092907029	0.2525293381317802	0.2504070151065077	0.26126248	0.026352260732188885	0.38641389030100887	0.04933970269733981	0.018400291297487558	0.009398519547184785	0.012441934901432956
10	0.1667589358985424	0.1610394938115301	0.15354886913037563	0.23781335805401657	0.22509555427924446	0.22352516438279832	0.23645851	0.027080178373686887	0.37396932462089744	0.05050327174776662	0.018409879104138983	0.009390253478981455	0.012436878190302847
11	0.14779321452937064	0.14289194732571447	0.13647058475148546	0.21213037061570872	0.2009159399115521	0.19986703087176597	0.21373081	0.028611123297145113	0.3665877257153249	0.05307954031683035	0.018371792038890118	0.00481085169433733	0.007625011873139194
12	0.13121041072866854	0.12706417746467297	0.12161498164737618	0.1895757270882828	0.1797391212504843	0.1791991266821112	0.19403198	0.03033027651874495	0.35677590275797366	0.05590771920041528	0.018546715044706494	0.004732324046405707	0.007540608978263947
13	0.11682093709420699	0.1132850335421842	0.10887307264320142	0.16989162519122614	0.16130949297676916	0.16124670846121653	0.16190296	0.033030197450209166	0.47174864539807315	0.06173773376254764	0.017162471395881007	0.00024798204609986237	0.0004888999344059256
14	0.10442399689688897	0.10145676878993738	0.09790699667000509	0.15282591123773595	0.1453711722208106	0.14576605707406998	0.14883932	0.03965727651293475	0.5088880898356293	0.07358048005067634	0.0	0.0	0.0
15	0.09381903409480284	0.09130590404878115	0.08863347506785131	0.1381184442175759	0.13166593365047288	0.13250665978661605	0.15924412	0.0543101836027937	0.3480634668716652	0.0939593870967202	0.0	0.0	0.0
16	0.08481342402788308	0.08267203050368992	0.08091826876113703	0.1255241549677319	0.11995182341855505	0.12122275547257491	0.15222551	0.0684142403365429	0.3641699007658512	0.11518872167083259	0.0	0.0	0.0
17	0.07721839966968848	0.0753490256572236	0.07427002112944048	0.11481081114874946	0.10998978342698967	0.1116924908544336	0.1422295	0.07636888290815359	0.39968506280145316	0.12823547430417287	0.0	0.0	0.0
18	0.0708271275775937	0.06912919493943619	0.06884199904871512	0.10574653428612334	0.10155363296685012	0.10367412306368351	0.14087626	0.08853418963052018	0.38105747810525187	0.14368489623917666	0.0	0.0	0.0
19	0.06546900993308578	0.06394713456279405	0.06432771535365137	0.09809111171599591	0.09443169294492058	0.09694391302764416	0.15610698	0.16314341183421963	0.19970407475832083	0.17958180953230457	0.0	0.0	0.0
20	0.06100613610723462	0.05956401055751566	0.06052295839066034	0.09165173227136786	0.08847345172063165	0.09131593789373126	0.1551067	0.19519863299087958	0.19168598860109196	0.1934263646069665	0.0	0.0	0.0
21	0.057313536532605305	0.05588740112478507	0.05742540214579184	0.08627585953835284	0.08351160663625469	0.0866272050355162	0.1609554	0.2708256753476437	0.1613908486358921	0.20225411640397992	0.0	0.0	0.0
22	0.05427520332905727	0.0528881312061788	0.054934812893906795	0.08182583342898976	0.07942140782656877	0.08274915202387742	0.15312423	0.32745164319248826	0.18016722255975334	0.2324423186643845	0.4375	2.893123871165061e-05	5.785865131483785e-05
23	0.05175767275385368	0.05033121322536602	0.052858218345995786	0.0781710207311794	0.07604644943190658	0.07955651038459369	0.15060483	0.3456258643185849	0.18283302955532685	0.23915511536881254	0.6944444444444444	0.00030997755762482795	0.0006196785107886028
24	0.049688713231052346	0.0482188984647643	0.0510311888551319	0.07517837247613704	0.07328789664999298	0.07692659739404917	0.16429785	0.641663793373664	0.16921468219034275	0.2678056901023355	0.7097791798107256	0.0009299326728744838	0.0018574317909770093
25	0.047961302913534336	0.04644106011109312	0.049578813569886346	0.07271173370606972	0.07101922330001126	0.0748192130454949	0.1519902	0.6455000150652325	0.17708811215401338	0.2779285897298682	0.7305863708399366	0.0019053287208672758	0.003800745308841473
26	0.04651516136259605	0.04491002824386405	0.04834248444863728	0.07075732114790666	0.06919987943509351	0.07307731400110892	0.14982142	0.6381936089673993	0.1797787173541969	0.28053180957786084	0.7236315086782377	0.00448020896620418	0.008905282787912147
27	0.045293303875204846	0.043556880205869675	0.047231300600937436	0.06915640070883915	0.06770899078768233	0.07172471910182919	0.12919329	0.5014436447784643	0.1952403979285233	0.2810515262122983	0.709307657038056	0.0063938037552747845	0.012673367904511457
28	0.044237910805699915	0.04241512167428792	0.04625071445991705	0.06783229259378983	0.06642910037999568	0.07065710172589336	0.12093934	0.47712126216799117	0.20298157080094067	0.2848005288688759	0.7015102161681966	0.0097911577868429	0.019312762401663065
29	0.04331089877404082	0.041401852234448804	0.0453729198037923	0.06673872850910582	0.06545829520277355	0.069654875301889	0.118080236	0.4703799280453578	0.20642025517352544	0.28692647308053576	0.6920831186673536	0.016656127429707422	0.03252938137672736
