Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Test Loss 1	Test Loss 2	Test Loss 3	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.3003171284038287	0.5532814042861235	0.4316948721042046	0.6779946552382575	0.6494606417158376	0.6455883809498378	0.25204065	0.015329573771557728	0.9977970928238129	0.030195245368262357	0.014666443354996839	0.37314685083466625	0.02822356650922649
2	0.2766235842345617	0.5113213520975752	0.3960400456255609	0.6309838475603046	0.5983978556550067	0.5927916573626655	0.4451435	0.01571981986853648	0.5190388215893169	0.030515436862948067	0.013000624479372837	0.24582460229879358	0.02469522296616707
3	0.2509187485258549	0.46699681794843195	0.35939418909313914	0.5774792330433623	0.5458437551622806	0.5393135036740985	0.16986586	0.015338914098457532	0.9972597983905965	0.03021311837096335	0.012368911181487257	0.16938000355440933	0.023054291387971625
4	0.22527801665740135	0.4237641426604553	0.32462098048283505	0.5254866643385454	0.4948778637077497	0.48858184473855154	0.16371304	0.015381595039907055	0.9937963158134018	0.03029430651938889	0.012480390994991574	0.12491682268870401	0.02269348478341177
5	0.2007858170530735	0.3828123568156578	0.2920312468822186	0.47553189384816874	0.4476992013661758	0.441612962101187	0.15767469	0.015460052817904564	0.9913247614206064	0.030445300633285963	0.01022072930966769	0.07120391150347381	0.017875569311669184
6	0.17797022828688988	0.3454781743234762	0.2624772777269175	0.4293381430283941	0.40416576940080395	0.3990022178207125	0.1549786	0.015550092960667162	0.9843895301980137	0.030616545938509047	0.011602141556386475	0.043000086793716134	0.01827372651235988
7	0.1572971812521036	0.31168745274983306	0.2359003891329189	0.3877521933931293	0.3652135247769563	0.36056654368128094	0.15751301	0.015778308904300056	0.9516352349423235	0.031041936091638366	0.013686386235405842	0.03240298735704868	0.019244340531551267
8	0.1386647725907656	0.2811762946943997	0.21189389893641838	0.35006623135672676	0.32953362827715665	0.3257701258574213	0.15552393	0.01632444233625327	0.9120283691460738	0.03207477660864631	0.012158473798175602	0.016036172314457767	0.013830667008868737
9	0.12183708695169443	0.2535213716536261	0.19023365191705935	0.31591513301386975	0.29747552897619167	0.2943933701940945	0.15413494	0.0167396478483256	0.8826590288196468	0.03285617756816101	0.01016279086423113	0.005864775390261745	0.007437496724146968
10	0.10666803712359606	0.22856611750145864	0.17072255549195048	0.28491546710332233	0.2686704309090324	0.2659216352871486	0.1566482	0.017495303822013614	0.8304174777746092	0.034268633255934614	0.00960177313283127	0.00490591147867561	0.006493861741470994
11	0.09302060234432037	0.20615325110584665	0.15325283905962012	0.25704780341398836	0.2421596762926682	0.2402220517396927	0.15621954	0.018919160120498966	0.7911825850475093	0.036954642056621606	0.003367619605402833	0.0003802391373531223	0.0006833239252503045
12	0.08081143979842846	0.1860731923796611	0.13768116867804264	0.2320261143072687	0.2186345892108005	0.21725306500281608	0.14973284	0.02015373147122601	0.7608461147412927	0.03926732729022614	0.0	0.0	0.0
13	0.0699247086707216	0.16825480351234948	0.12384716421365738	0.20947710221463983	0.1977490992649742	0.19676244578191213	0.15409811	0.0214420335774334	0.6718370923278488	0.041557730368553134	0.0	0.0	0.0
14	0.06030591460279165	0.15241233055485026	0.11167739921218746	0.18956585228443146	0.17904549901900085	0.17853625544479915	0.15386905	0.024162544683698325	0.6026748996705972	0.04646231435020501	0.0	0.0	0.0
15	0.05183380538932024	0.13839953068081892	0.10095789791135998	0.17177791622552005	0.16249477474585824	0.16239170836550848	0.15304753	0.027421889847867337	0.5635391997619372	0.05229890810926502	0.0	0.0	0.0
16	0.04438796046022803	0.12619442931849864	0.09163917863106989	0.15610139011734664	0.14796361443789108	0.14829342226896966	0.15396678	0.034218711512802945	0.4932073584539146	0.06399729279969452	0.0	0.0	0.0
17	0.0379467654065826	0.11555884649467202	0.0835859715774819	0.14241034183839354	0.1352601292340652	0.13603407623512404	0.15185314	0.03974190712467928	0.4723231371382045	0.07331499175462959	0.0	0.0	0.0
18	0.0323899865257912	0.10636658675177803	0.07667547636307202	0.13052260401574048	0.12418434477370718	0.1254103330097028	0.1525701	0.051360086681392386	0.4364897314767744	0.09190594978111312	0.0	0.0	0.0
19	0.027624207495066982	0.09844813077559685	0.0707652427992978	0.1200662599970596	0.1147105049179948	0.11620166551853929	0.1490615	0.06929715309047763	0.4274921162374511	0.11926178141470371	0.0	0.0	0.0
