Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Test Loss 1	Test Loss 2	Test Loss 3	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.25555859742065273	0.2260846189693012	0.22011705581098795	0.6807017837251935	0.6722409103227698	0.6588644981384277	0.44140875	0.31288035216303817	0.839396894813247	0.45584653648747187	0.3421442424515203	0.545527723523039	0.42053636220486873
2	0.23471664705624182	0.2000107444756854	0.19035108853131533	0.637207201548985	0.61921946224959	0.601653590798378	0.50785494	0.49244690189010476	0.5641360181431305	0.5258594079307396	0.46780089116161305	0.5865775937872055	0.5204990902719516
3	0.20384314445157845	0.17127983496252414	0.1623527535370418	0.5793275705405644	0.5645091087921806	0.551053449511528	0.5147516	0.6154326221598613	0.556338466566544	0.5843954413648931	0.5803755226149753	0.5776063241571494	0.5789876122546658
4	0.17704145926982165	0.14765337650227336	0.13873851565378054	0.5296018975121635	0.5196560906327289	0.5071511939167976	0.49135908	0.666956249358722	0.6378973889420628	0.6521032513018886	0.6744900764786421	0.6267650082441264	0.6497523557186076
5	0.15288808171947796	0.1251997620658537	0.11719799367710948	0.48416914897305624	0.4756601932256118	0.46839338541030884	0.4577619	0.6768034132681988	0.743644846318589	0.7086514652693339	0.6954847650131831	0.6730263595891685	0.6840712817479812
6	0.13207816487799087	0.10757633661274361	0.10125119325571827	0.44902405994279043	0.4424285914586938	0.4388570711016655	0.47249264	0.7083029868939577	0.761399331304941	0.7338920458984629	0.7455207318086261	0.7099744851419831	0.7273135515174491
7	0.11593675989036759	0.0939476177491973	0.08879727284823145	0.4216808634144919	0.4164618660574374	0.4154592677950859	0.5083181	0.7875519694726604	0.7294828464240724	0.757406021770443	0.7799267744734675	0.7335936696176056	0.7560510289143947
8	0.10295396400615572	0.08305706663996773	0.07878596681569304	0.3996377331869943	0.3953922953294671	0.3963610902428627	0.47611958	0.780397474651675	0.7523506784220042	0.7661174711782974	0.7924821351330394	0.7334293923209875	0.761813093797963
9	0.09223890239372849	0.07400102854038762	0.07053846307098866	0.38142729444163187	0.37790310641993646	0.380461223423481	0.43711475	0.7641642058439856	0.7759400335990303	0.7700071000027885	0.7928713254652704	0.7329806559160146	0.7617506170820534
10	0.08325408725067973	0.06661636329593912	0.06366764823906124	0.36612229900700705	0.3631486177444458	0.36707568168640137	0.40755317	0.7506490999705968	0.7935324028321405	0.7714952975441061	0.7922175690427752	0.7338102562639366	0.7618961695396745
11	0.07565156323835254	0.06035404378729584	0.05788249442619937	0.3531081570046289	0.3505659458429917	0.35562821477651596	0.3934557	0.7412532701495733	0.8052535879458508	0.7719291411350582	0.7936129725454253	0.7321817494840396	0.7616606955864373
12	0.06914384436483184	0.055108987223521796	0.052995656350893636	0.34193816993917736	0.3397434763286425	0.3458321541547775	0.38565007	0.7412941754349681	0.8057412321316016	0.7721753223818817	0.7944695401114019	0.7313577691488966	0.7616084297171299
13	0.06354518005003532	0.05059681123996203	0.048842130162354024	0.33229346573352814	0.33038320282231204	0.3374011516571045	0.38566446	0.7414193742423887	0.8056824381517593	0.7722162359931043	0.7944942029781856	0.7313378829498323	0.7616089788393553
14	0.05870857075788081	0.04693527516406194	0.04531943648388343	0.32392428176743643	0.3222530318343121	0.3300836607813835	0.38575855	0.7415120061055143	0.8056167272331121	0.772236288668338	0.7945147189845523	0.7313244813808977	0.7616111378862228
15	0.05452501286442081	0.043643633019080204	0.04231946938671172	0.31663943401404787	0.3151717906412871	0.3237610384821892	0.3860427	0.7414427205391813	0.8057334505754461	0.7722523301191926	0.7925768344267573	0.7333200182261338	0.7617978340501296
16	0.050874903223787744	0.040988546095590675	0.03978410759009421	0.3102812341281346	0.3089940716391024	0.3181709796190262	0.38590217	0.7414581691470482	0.8057252367106151	0.7722569368120341	0.7946120401102115	0.7312237534595502	0.7616012168048202
17	0.04771725032478571	0.03869041830169416	0.03762402731393065	0.3047362289258412	0.30359881209290546	0.31328171491622925	0.38545507	0.7413965650698036	0.8057848953078081	0.772250920613455	0.7947056214241142	0.7311411825025658	0.7615994034187242
18	0.044974590698257086	0.03678816230555551	0.03583046567759344	0.299882920725005	0.29888774415721064	0.3090471476316452	0.38604292	0.7413830958487396	0.8057939737899896	0.7722477829175376	0.7946066892123919	0.7312449365846404	0.7616102486496124
19	0.04258741491163771	0.035202186686539017	0.03431944918286588	0.2956471698624747	0.2947705004526221	0.3052808344364166	0.38553315	0.7412690661740087	0.8058834616857791	0.7722270045543083	0.7947015262010375	0.731142911737267	0.7615984609987746
20	0.04050866671216984	0.033848201773599186	0.03306333511136472	0.29193110870463507	0.29118006229400634	0.3020407408475876	0.38599142	0.7412148743079232	0.8059145879104014	0.7722118860362488	0.794664472933121	0.7312211596074983	0.7616238923877146
21	0.0386952035749952	0.03275324069622871	0.032021273975260556	0.28870709027562824	0.2880493887092756	0.2991502955555916	0.38572618	0.7410382965599824	0.8060762713549678	0.7721902429337668	0.7946835127814179	0.731169282566461	0.7616044951116155
22	0.03713835598900914	0.03181677192977044	0.031169304956815073	0.2858850232192448	0.2853317519892817	0.29664774239063263	0.38565168	0.7411782715185444	0.8058635754867147	0.7721686043790215	0.7946853048279102	0.7311589071582535	0.761599689468124
23	0.035787249961867926	0.03112326443722818	0.030492525015558516	0.28343050607613157	0.28297317948030387	0.2944972813129425	0.38569105	0.740853596764896	0.806182186980419	0.7721385363514764	0.7946604838217123	0.7312116488166415	0.7616169011750635
24	0.03461930095218122	0.03046996659080012	0.02992022000918431	0.28129644798380987	0.28093799547008846	0.2925879582762718	0.38563955	0.7405956946727332	0.8064147690477363	0.7721050633891168	0.7946526224794693	0.7312215919161736	0.7616186840930981
