Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Test Loss 1	Test Loss 2	Test Loss 3	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.32444130307749697	0.3018472336422816	0.256745257629798	0.6935112685770601	0.5964017847309941	0.5912932297762703	0.49839744	0.042004519035543614	0.35237935229215755	0.0750615138558219	0.0420520992774881	0.34805577058858556	0.07503809561144517
2	0.25731171683261267	0.24561918601220833	0.20619114975516611	0.5744818819535745	0.5020911360379332	0.4961694812073427	0.40418023	0.04330601759436234	0.4341552321080704	0.07875627239728544	0.039718946103184806	0.16803059045707042	0.06425042458869686
3	0.20828692897369988	0.20164641281568257	0.16661035326810983	0.4860854422723925	0.42741505718379286	0.42143219183473024	0.3560382	0.04544072557703988	0.417339412860582	0.08195773395247749	0.025542428557330365	0.04623659115462812	0.03290640722151925
4	0.1702427200580898	0.16699172971281817	0.1351426232319612	0.4172016269451863	0.3673900058550864	0.36135377778726463	0.31142774	0.04609199802065692	0.41639303122846716	0.08299679149553442	0.03133757961783439	0.03505227429329749	0.03309100327055238
5	0.13982780842404616	0.13860145802425952	0.10935004628621615	0.36170356901916295	0.31754371505346357	0.3115069585687974	0.26424325	0.047298244536766613	0.4455756127023555	0.08551861284454747	0.03061647843123349	0.01836193036332548	0.022956141645296507
6	0.11484127358386391	0.11518258687860727	0.08832640716662774	0.3158930572303566	0.27635482768094316	0.2703595985384548	0.21839696	0.049712033573503574	0.5111439095556898	0.09061151443257906	0.041958544383374645	0.009935943787057753	0.0160671297888438
7	0.09452806311218362	0.09615512833586978	0.0714995340945629	0.27849462950551834	0.2428180019122473	0.23682892147232504	0.20154013	0.05489313187403649	0.47798439852662206	0.0984768886851959	0.04201590563845948	0.004999872397982187	0.008936326299444854
8	0.07833057132206465	0.08089216853861465	0.05819651040320213	0.24847519921289907	0.21580288369463096	0.2097694514428868	0.19380777	0.06507503685037741	0.43348957491514467	0.11316226381155389	0.04194337006494928	0.004889283982544044	0.008757694886329005
9	0.06559467880349411	0.06879551513358224	0.04780625430150674	0.22467678261769786	0.19420353374125796	0.1881006772027296	0.1894192	0.08371475983129584	0.35952506528969913	0.13580708586301843	0.0	0.0	0.0
10	0.05568520787515138	0.05927024263966388	0.039798734709620476	0.2060510427565188	0.17705890184603862	0.17086579343851874	0.17374079	0.1057372517127684	0.3766088487745953	0.1651162291968339	0.0	0.0	0.0
11	0.04814615492757998	0.05182049496060458	0.03369321917685179	0.19165388998147603	0.16354507920534714	0.1572574175455991	0.17912753	0.13117709618411538	0.3278925250737965	0.18738765236435942	0.0	0.0	0.0
12	0.04247625642701199	0.046047359151795954	0.029130758466915443	0.18069131672382355	0.15296672627052166	0.14660827464917126	0.18620846	0.15977420598555495	0.29700220326150756	0.20777470220184288	0.0	0.0	0.0
13	0.038293206927023433	0.04159656827383418	0.025764024673173062	0.17247830250778715	0.14474190859505848	0.13834966762977488	0.1715456	0.17128519711759735	0.3181692513164275	0.22268745581066496	0.0	0.0	0.0
14	0.03523438294467173	0.03816465019592	0.02332130504342226	0.1664567152793343	0.13838132942870537	0.13198908199282253	0.14279568	0.1695384137811399	0.3554205337167065	0.22957007895107368	0.0	0.0	0.0
15	0.03306712368993383	0.03549794497491312	0.02153554755764512	0.16214719817445084	0.1334896756810431	0.12708278657758937	0.13062257	0.16986581356082822	0.36586688557501723	0.23201225638611933	0.0	0.0	0.0
16	0.0315539287109124	0.033327081052720406	0.020000566835873403	0.159227705686479	0.12972666878507744	0.12313617327634026	0.13196705	0.17616550488555036	0.35800660127772155	0.23613518167185094	0.5714285714285714	1.7013602375098893e-05	3.402619166103108e-05
17	0.03053927176484936	0.03132603333921554	0.01866214292553755	0.15738154887347608	0.12671220816255357	0.11976109620402842	0.12466215	0.17673113588490455	0.36114773761622415	0.23732499280265867	0.2564102564102564	2.1267002968873616e-05	4.253047840408633e-05
