Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Test Loss 1	Test Loss 2	Test Loss 3	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.4713929841121038	0.3538409829139709	0.3530031323432922	0.5986003677050272	0.6005173383847527	0.5988151907920838	0.4490901	0.01590519734156545	0.4884295710323906	0.0308071907862837	0.01299569923086546	0.24902770372758345	0.02470229072103114
2	0.3932762817939123	0.2856783926486969	0.2850144624710083	0.49100801878505285	0.49333836850912677	0.49136716297694616	0.37923783	0.015964487682445495	0.4923394212925651	0.030926170300979966	0.010329238316614597	0.099709447702653	0.018719282917616535
3	0.3183056154648463	0.22622648477554322	0.22595571875572204	0.3953882568412357	0.39830303127351013	0.39673224488894143	0.32543176	0.01632870715885822	0.44598744384239913	0.0315039755857911	0.011760502166227467	0.04244212718999144	0.01841758360011837
4	0.25482848592599233	0.18024654388427735	0.180523881316185	0.3182686395115323	0.3218770143778428	0.32077382093384155	0.15029478	0.016627527267643005	0.896029394138531	0.03264918686135168	0.012834054086370792	0.010646695845887424	0.011638492869389994
5	0.2051630516052246	0.14642571210861205	0.147042852640152	0.25797753731409706	0.2623019717309786	0.2611669898033142	0.15153529	0.017905852041636	0.8185680690051373	0.03504510627485322	0.008057987385860868	0.003537877191024703	0.0049169545899713655
6	0.16620468578735986	0.12177015841007233	0.12273934483528137	0.21084848741690318	0.21544460887494293	0.21439335701011475	0.14607167	0.02070505271014534	0.7505176625212334	0.040298366361616086	0.0	0.0	0.0
7	0.13577544860045115	0.10441095232963563	0.10559420585632324	0.1735451343986723	0.17848491976442543	0.17744290857088	0.1458956	0.02455980075695204	0.6106599215550127	0.04722046711352426	0.0	0.0	0.0
8	0.11222811176379521	0.09317543059587478	0.09451689422130585	0.1447754121488995	0.14998039603233337	0.1489912878899347	0.14908469	0.03281153381068673	0.4980471413869636	0.06156700976149579	0.0	0.0	0.0
9	0.09434514556328455	0.08667804896831513	0.08818743228912354	0.12275650666819679	0.12815027279050453	0.12721522351106007	0.1496793	0.052344690878168544	0.4510710757874463	0.09380387977343636	0.0	0.0	0.0
10	0.08089373139540354	0.08381517976522446	0.08535539209842682	0.10608402871423298	0.11163770123992277	0.11079411279587519	0.15127623	0.09364228537305187	0.38109054237806517	0.15034220191339584	0.0	0.0	0.0
11	0.07089101448655129	0.08356761783361435	0.08526198416948319	0.09360884792274898	0.09924408558594144	0.0984532953727813	0.1410937	0.12971384076841916	0.39176203642856255	0.19489667934614988	0.0	0.0	0.0
12	0.06351430237789948	0.08529120087623596	0.08719386011362076	0.08437881800863478	0.09004013369912686	0.08930143749430067	0.14827761	0.15486496620725607	0.34993159828561743	0.21470885087261055	0.0	0.0	0.0
13	0.05811757253110409	0.08823170959949493	0.09014696925878525	0.07756559020943112	0.08340344950556755	0.08270774426914397	0.12859237	0.15417077173032695	0.3925803771806921	0.22139658905766718	0.0	0.0	0.0
14	0.05423413701852162	0.09192506372928619	0.0939328834414482	0.07265625637438562	0.07856187807477039	0.0780842172957602	0.10895199	0.1539320711968446	0.39986278326782476	0.22229064039408866	0.0	0.0	0.0
15	0.051408765748143195	0.09566727578639984	0.09745661020278931	0.06909290742543009	0.07524017143346694	0.07539386398025921	0.114083834	0.1551630877934022	0.3971721780676412	0.22314874802910079	0.0	0.0	0.0
16	0.04919736137986183	0.09846082627773285	0.09896326959133148	0.06696949129303296	0.07353311392438153	0.07535621516761326	0.1517825	0.18343204240572084	0.29992188565547856	0.22763975155279506	0.0	0.0	0.0
17	0.047230707893768945	0.10034326165914535	0.09945917278528213	0.06529476982023981	0.07199300343737654	0.07497404725069091	0.15216377	0.2019042415474834	0.2688042719040475	0.23060013189712025	0.6923076923076923	3.7197306914979355e-05	7.439061686352628e-05
18	0.04534558332959811	0.10244138687849044	0.10042263120412827	0.06405708409017986	0.07050146502645119	0.07407553806191398	0.15497687	0.24343802568157696	0.23984410195368522	0.24162770072491224	0.8493506493506493	0.0040545064537327495	0.008070487190878127
19	0.04355601800481478	0.10447838455438614	0.10149584114551544	0.06317091054386563	0.0693089802466009	0.07336633538915997	0.16263628	0.3154301347051652	0.219207862684075	0.25866012514082004	0.8465683130211674	0.027273892036883195	0.05284526803017441
20	0.04192923211554686	0.10698183923959732	0.10323654264211654	0.062203671120935014	0.067803673810609	0.07182929767739205	0.17428905	0.42214054843082055	0.20080346182936357	0.27215056925597614	0.8135982126683171	0.05568850148582576	0.10424193660691491
21	0.04054702806969484	0.10972469747066498	0.1053401380777359	0.06154863586028417	0.06683393620440493	0.07072898404938834	0.16721614	0.4711645298113062	0.2015515410017648	0.2823299194682939	0.8035415970598062	0.06957962910151971	0.12806956151294768
22	0.03943089727063974	0.11182291060686111	0.1070350781083107	0.061182107279698056	0.06648430422596309	0.07052944799264273	0.15243503	0.4904778342127324	0.2055440519439726	0.28968859582697437	0.8043551797040169	0.07862270771596136	0.14324386396237992
23	0.03854163184762001	0.11517910212278366	0.10980678200721741	0.060420629216565026	0.06545390646256831	0.0695251267580759	0.14049993	0.5040424507483048	0.20768083057453307	0.2941591417992361	0.8058987796947324	0.08707062941976335	0.15716129417293936
24	0.037832156414786974	0.1175162211060524	0.11190901249647141	0.06012433783875571	0.06511266906138348	0.0691924950551419	0.13107266	0.5230903850113239	0.21001186180787176	0.29969949246961747	0.80741837670122	0.09464648092811413	0.16943195901078373
25	0.03726903927326202	0.12018435746431351	0.11444563120603561	0.05973322656419542	0.06446333630415409	0.06842565305885814	0.12386818	0.5446442884165305	0.2106359499572231	0.3037856976806566	0.8063427579202569	0.10172223531016354	0.1806544429601139
26	0.036829644384483495	0.1226172387599945	0.11708835065364838	0.05957732647657395	0.06427427397473999	0.06807323342987469	0.11797259	0.5708861184851641	0.2106483490595281	0.30774386378045465	0.8099842664219221	0.10213140568622832	0.18139109817551868
27	0.03649724699060122	0.12485538721084595	0.11880898922681808	0.05936857577827242	0.06420183995657641	0.06792079185446104	0.116262	0.5835986803535916	0.20983000830739854	0.3086768040955051	0.8095388403143841	0.10599992560538617	0.18745477535686353
28	0.0362317456305027	0.12666265666484833	0.1207230880856514	0.059299499293168384	0.06430627401594234	0.06789796068554833	0.116262	0.5835986803535916	0.20983000830739854	0.3086768040955051	0.8095388403143841	0.10599992560538617	0.18745477535686353
29	0.03601679625858863	0.1282875657081604	0.12253734767436981	0.059298628982570434	0.06420337744867025	0.06757521558375586	0.117872864	0.6152095956473352	0.20562671262600588	0.3082308261802908	0.8102817125576953	0.10520638305786661	0.18623247783207983
30	0.03584081801027059	0.12971715331077577	0.12387770712375641	0.05930620522962676	0.06425209950817667	0.06767224286283766	0.117872864	0.6152095956473352	0.20562671262600588	0.3082308261802908	0.8102817125576953	0.10520638305786661	0.18623247783207983
