Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Test Loss 1	Test Loss 2	Test Loss 3	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.5355227439515833	0.4677593633532524	0.4275127649307251	0.5901779055595398	0.5865947571429577	0.587778848125821	0.43409896	0.04100063787891394	0.55020501390862	0.0763144143369497	0.04197214085610946	0.34940835197740594	0.07494199038547943
2	0.44333256840489915	0.39128798618912697	0.36389538645744324	0.4939187213778496	0.49323346752386826	0.4949867044176374	0.41908365	0.044428435734947924	0.39859254974351993	0.07994584482982561	0.0387582259540654	0.15887301897867345	0.06231440144675115
3	0.37449666609366733	0.3329200732211272	0.31709474325180054	0.4193003043532372	0.42079126310872506	0.4232164116132827	0.36886415	0.04533899685368269	0.38776551853206637	0.08118548294992207	0.027130668987773134	0.04918632446641089	0.034971448098896254
4	0.3201869009197622	0.2865709935625394	0.28139424324035645	0.35856673270463946	0.3618050446877113	0.36490457285018196	0.3079769	0.045249573825538264	0.4255293357038953	0.08180069540545899	0.0316983519214486	0.034314309290277574	0.0329544978753693
5	0.27547148037431896	0.24882749964793524	0.2541043758392334	0.30795000195503236	0.3128313274828942	0.3165596987519945	0.25923696	0.0464617147630701	0.4613025613978376	0.0844207008385442	0.033553749787045214	0.018011024814339065	0.02343993257801894
6	0.23867415860835192	0.21859314541021982	0.23404310643672943	0.2662360519170761	0.2726519476253908	0.2769613867714292	0.22043504	0.04919917914780302	0.4954403545634735	0.08950969311802165	0.04252895559382888	0.009925310285573316	0.016094518655950782
7	0.20880391554016134	0.19473525943855444	0.2201215624809265	0.23223490938544272	0.2400562203192449	0.2448842580829348	0.2121657	0.05458113693599132	0.43041223958554864	0.09687715554483319	0.04198466396030672	0.00494883159085689	0.008854019028340852
8	0.1847993243161751	0.17637381019691625	0.2112600952386856	0.20475214198231698	0.21383739107257718	0.21911147634188335	0.1973287	0.0632884529893374	0.3811812544129031	0.10855350319069268	0.04194260485651214	0.004889283982544044	0.008757678205799724
9	0.1656815344332785	0.1624991949647665	0.20651674270629883	0.1826953612267971	0.19293818794764006	0.19858412799381076	0.17987102	0.07822470679758334	0.3840671867157793	0.12997650831853108	0.0	0.0	0.0
10	0.15059094214676946	0.15238117488722006	0.20505601167678833	0.16512735486030578	0.17640140390658116	0.1823591090383984	0.17627946	0.10277968407287388	0.35736646448835846	0.15964498424337312	0.0	0.0	0.0
