Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.4121525608539959	0.33105590533126483	0.5635954465395139	0.6054927855730057	0.19552058	0.1093977739866408	0.9958783937079332	0.19713965182165252	0.12324528147653911	0.16631734747895982	0.14157785746327056
2	0.3127882330311921	0.2938478778709065	0.45784230530261993	0.5332008711993694	0.25172627	0.12648539383386695	0.8341710928610947	0.21966324209887028	0.1975275906018216	0.08323358877417396	0.11711683420226486
3	0.2520230564444384	0.2768363207578659	0.39403756686444147	0.4911095164716244	0.25161117	0.15646324864965724	0.7368992510770991	0.25812064147820685	0.21347127050983844	0.015446712523576203	0.02880882754524992
4	0.2118939881818406	0.2699210454117168	0.3537657782742025	0.4645222947001457	0.2552533	0.19735967643560615	0.7184920442223308	0.30966007743569673	0.0	0.0	0.0
5	0.18728692373017516	0.26827484369277954	0.32863486984384405	0.44752492010593414	0.22149585	0.21360117546957624	0.768044572597644	0.33424526891273415	0.0	0.0	0.0
6	0.17089772473368867	0.26951733231544495	0.31154540147433063	0.4355126842856407	0.18863861	0.2180558224376855	0.7685034449543658	0.33971937880367625	0.0	0.0	0.0
7	0.15950273488215388	0.272972590544007	0.299548422818076	0.42658377066254616	0.14432722	0.21780066143730697	0.8219276733010777	0.34435224071034937	0.0	0.0	0.0
8	0.15143506923839392	0.27742754464799707	0.2909181078765618	0.4198157377541065	0.11028091	0.21765015659393191	0.9999510991044881	0.35748897644085864	0.0	0.0	0.0
9	0.14566051911618721	0.2827785543420098	0.28470085217874236	0.4145384840667248	0.11020587	0.21787304149502232	0.9999522363346163	0.3577896419891015	0.0	0.0	0.0
10	0.1415067082794526	0.2887797152454203	0.28012324287077034	0.41051139310002327	0.110204086	0.21798778031338822	0.9999522363346163	0.35794434116370605	0.0	0.0	0.0
11	0.1385132664031484	0.29484400153160095	0.27682918527857264	0.40745748952031136	0.11030515	0.21800107551701303	0.9999522363346163	0.35796226483457244	0.0	0.0	0.0
12	0.13635810264640635	0.3013779006221078	0.27443569736102974	0.40519073233008385	0.11025252	0.21800117010252312	0.9999522363346163	0.3579623923467912	0.0	0.0	0.0
13	0.13480782373760394	0.3077204322273081	0.2727098449635408	0.40351099893450737	0.11015979	0.21800137278603543	0.9999522363346163	0.357962665587566	0.0	0.0	0.0
14	0.1336991210554388	0.31335833262313495	0.27145287204426505	0.40230919420719147	0.1101332	0.21800137278603543	0.9999522363346163	0.357962665587566	0.0	0.0	0.0
15	0.1329113786018093	0.31889982656999066	0.27058831850687665	0.4014049842953682	0.110038005	0.21800137278603543	0.9999522363346163	0.357962665587566	0.0	0.0	0.0
16	0.13234461180317147	0.3236627971584147	0.2699341635093277	0.40077460184693336	0.110126	0.21800137278603543	0.9999522363346163	0.357962665587566	0.0	0.0	0.0
17	0.13193377065498113	0.32800429923967883	0.26950322628143886	0.40032054483890533	0.110197216	0.218001237663652	0.9999522363346163	0.35796248342700315	0.0	0.0	0.0
18	0.1316366873368892	0.3320534744045951	0.26916427974715645	0.4000096805393696	0.11016774	0.21800125117588282	0.9999522363346163	0.3579625016430511	0.0	0.0	0.0
19	0.13141999098745868	0.33510591225190595	0.2689355820294761	0.3996880240738392	0.11024436	0.21800138629828297	0.9999522363346163	0.3579626838036325	0.0	0.0	0.0
20	0.1312496921169975	0.33795003863898193	0.26875830383457766	0.39949076995253563	0.110248275	0.21800138629828297	0.9999522363346163	0.3579626838036325	0.0	0.0	0.0
21	0.1311212524016604	0.3405767354098233	0.2685691521123604	0.3993401490151882	0.1102292	0.21800138629828297	0.9999522363346163	0.3579626838036325	0.0	0.0	0.0
22	0.131018299807043	0.3428802219304172	0.2684337283051554	0.39919794350862503	0.11023839	0.2180013998105322	0.9999522363346163	0.3579627020197009	0.0	0.0	0.0
23	0.13093539084339556	0.34497633847323333	0.2683404778502115	0.3991500250995159	0.11020163	0.21800125117588282	0.9999522363346163	0.3579625016430511	0.0	0.0	0.0
24	0.13086567391432757	0.34663980386473914	0.268259061124835	0.3990286700427532	0.1101594	0.218001237663652	0.9999522363346163	0.35796248342700315	0.0	0.0	0.0
25	0.13081014102069707	0.3482675782658837	0.2682108051247067	0.39895136654376984	0.11013416	0.21800125117588282	0.9999522363346163	0.3579625016430511	0.0	0.0	0.0
26	0.13076187479099582	0.3498210310935974	0.26815325481656155	0.3988547511398792	0.11011419	0.21800125117588282	0.9999522363346163	0.3579625016430511	0.0	0.0	0.0
27	0.13072017173231923	0.3509931130842729	0.2680691727456242	0.3988000564277172	0.110165656	0.218001237663652	0.9999522363346163	0.35796248342700315	0.0	0.0	0.0
28	0.13068497493001835	0.3520722416314212	0.26806513082098077	0.39871690422296524	0.110143505	0.218001237663652	0.9999522363346163	0.35796248342700315	0.0	0.0	0.0
29	0.13065393725653443	0.3531416072086854	0.2680153105975179	0.3986367955803871	0.110190794	0.218001237663652	0.9999522363346163	0.35796248342700315	0.0	0.0	0.0
30	0.13062415209466846	0.35428403453393414	0.2679476384456756	0.3986057862639427	0.11015694	0.2180013998105322	0.9999522363346163	0.3579627020197009	0.0	0.0	0.0
