Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Train Loss 4	Test Loss 1	Test Loss 2	Test Loss 3	Test Loss 4	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.4979386241074317	0.4591811972387721	0.48621514439582825	0.4417488333341238	0.6881363929486742	0.6826352256315725	0.6729577409810034	0.6688537619732045	0.5239012	0.016949252991269793	0.2836831946700392	0.031987353815187955	0.01522158798516779	0.4139398974180936	0.02936341113275939
2	0.4759305736782381	0.42869780706555655	0.4526797745444558	0.4054804271137392	0.652694035394519	0.6381967994901869	0.6234703886097875	0.6171621547804939	0.57187825	0.02353889381386061	0.12686348175058793	0.03970982525477615	0.01658547128808006	0.3203184089471922	0.03153796727379417
3	0.4367925986970541	0.38435419422856876	0.407109379009767	0.3615294046498634	0.5967846863410052	0.575650140091225	0.5614690027017702	0.5551020922484221	0.5649147	0.02469211292558494	0.1268428165800796	0.04133723044596797	0.018370525252795037	0.2387901782577608	0.03411641778794215
4	0.3924449852930134	0.34099614151408164	0.36266419551589274	0.32196101224100265	0.5377358028701708	0.5153640751485471	0.5033168525531374	0.49941569566726685	0.53900385	0.025153286730321123	0.12974007348534633	0.042137238991342606	0.019316222858640042	0.16667286621781915	0.034620205350091
5	0.3530734375165343	0.3045293183139201	0.3250501372597434	0.2878281582851668	0.4861225479958104	0.4642614722251892	0.45309499111668816	0.45103118706632545	0.50220466	0.0247746685261243	0.13891540919104123	0.04204999183671426	0.024506059889412287	0.14175893665298633	0.04178814619698507
6	0.3180427480223747	0.2718521390068397	0.29067913618954744	0.25610684381948934	0.4392985651890437	0.41793855252089324	0.4064092156530797	0.405674918934151	0.45986226	0.022869151923258637	0.1370390117088856	0.03919707295736519	0.01707258489588314	0.06345447256285311	0.02690603392301821
7	0.28492559506428133	0.24146553388472353	0.25986712607470425	0.22767501888242928	0.3950960422847785	0.3748678355305283	0.3654434636406515	0.3649766842524211	0.27237645	0.018958672983746455	0.6640752542849231	0.03686489083472392	0.013017250758574002	0.022252255603360985	0.01642570146348607
8	0.25558632681428833	0.21609642766834644	0.23366228049451654	0.2033093946205603	0.35645953229829375	0.33867541397059403	0.33053154815202473	0.32984732036237363	0.25502032	0.01948486953018835	0.6157311543977549	0.0377743657501734	0.014618329759459966	0.018652382900811313	0.016390793117537567
9	0.23015327078085565	0.1945056560334195	0.21102389644492756	0.18223879043314908	0.32285159417227205	0.3076766376142149	0.30018314239622534	0.29915611611472237	0.23584989	0.02003850050491338	0.6021458713055842	0.038786253377201506	0.01810892706766376	0.010398713799787561	0.013211163327994959
10	0.20784458259679953	0.17575171539622747	0.19116285855119877	0.16384464220420733	0.2932574854177587	0.28052898358415673	0.27351148169616174	0.2720793507717274	0.2185628	0.020694962899512358	0.5901352742061474	0.03998763277750846	0.01729176814417925	0.004401681318272557	0.0070171277216078114
11	0.18814586928754398	0.15940793360886948	0.17365534153851594	0.1477268360353805	0.2670462470428616	0.25652959501301803	0.24991193859056496	0.24807375890237313	0.1969372	0.021335150581669005	0.6191574396680347	0.04124893062050306	0.05555555555555555	8.266068203328746e-06	1.6529676968787838e-05
12	0.1706994128854651	0.14503117826547515	0.15816022965041074	0.13357363359348193	0.24377642893323712	0.23521085580190024	0.2289552404277626	0.2267309526602427	0.18402328	0.022275658222778556	0.6117138452509372	0.04298597523236899	0.0	0.0	0.0
13	0.15523756477670403	0.13233517512176815	0.14441334930333224	0.12115371942117407	0.22309614820223228	0.21622920036315918	0.21031128520938172	0.2077244100747285	0.17309187	0.0232196882077706	0.6082131653668275	0.04473166064682919	0.0	0.0	0.0
14	0.1415305419510732	0.12139820407950476	0.13222103622826664	0.11024989046760507	0.2047096347691966	0.19930796159638298	0.19370626033037558	0.19078187589292173	0.16663833	0.024562973488200926	0.5878662384843337	0.04715563055521481	0.0	0.0	0.0
15	0.12937348056872933	0.11158416905764783	0.12140490919351578	0.10070231546824043	0.1883614060341143	0.18421663564664345	0.17890992537997236	0.17566669318411085	0.16354257	0.027152510271301947	0.553173550234963	0.05176417716434861	0.0	0.0	0.0
16	0.11860403619222228	0.10295601071936361	0.11180855742909691	0.09233969580885526	0.17382676052112206	0.17075859672493404	0.16572426876117444	0.16217816262333482	0.16062222	0.029471098126616004	0.510566101680905	0.05572558219368873	0.0	0.0	0.0
17	0.1090710862271557	0.0954020983549986	0.10329866848208688	0.08504192118306418	0.1609070431075844	0.15876151235015304	0.1539791055109309	0.1501425482608654	0.1594421	0.03387163958839541	0.4896694812628899	0.0633604793442174	0.0	0.0	0.0
18	0.10064116687782039	0.08886541367581721	0.09576530215415087	0.07869351584766363	0.14943159897537792	0.14807482891612583	0.14352291154450383	0.13940853432372766	0.15965971	0.04761670930806209	0.42883535232049197	0.08571577271664592	0.0	0.0	0.0
19	0.09318915844517227	0.08334253753504056	0.08909833141348579	0.07319634156049909	0.13924784330176374	0.1385672622256809	0.13422555168127193	0.12984329213698706	0.15921237	0.05930844850205776	0.4091827751670779	0.10360064104878344	0.0	0.0	0.0
20	0.08661338880704283	0.07840387322259752	0.08321745772253383	0.06845647116770616	0.13021956858973877	0.13011992695154967	0.125966462852626	0.1213282647508162	0.15945561	0.07069900735692473	0.39642409889524	0.11999744782107724	0.0	0.0	0.0
21	0.08082307868236359	0.0742899023749855	0.0780327393250032	0.06439385069785891	0.12222336137703821	0.12262370713331082	0.11864170226557501	0.11375882945678852	0.15956326	0.08736755157385259	0.38600885295904575	0.14248554869202124	0.0	0.0	0.0
22	0.07572642999813653	0.07057408042503206	0.07347286880016327	0.06093796100970861	0.1151527277394837	0.11598501630403378	0.11215390059454687	0.10703952279355791	0.1594753	0.10353027337641882	0.3762631585473212	0.16238082922348362	0.0	0.0	0.0
23	0.07126276670225634	0.06761637556084087	0.06947458161549135	0.05801011189012914	0.10890836239445444	0.1101156445565047	0.10641980179767499	0.10108635574579239	0.15969513	0.1181406426207444	0.37149363719400047	0.17927052429508114	0.0	0.0	0.0
24	0.06734488856035858	0.06512347499975997	0.06597747087478638	0.05556472833897617	0.10340648590057504	0.10493909650378758	0.10136500360636876	0.09582849867917874	0.15783496	0.13989648896580045	0.3618512686348175	0.20178155753762472	0.0	0.0	0.0
25	0.06390833295305078	0.0628791916487592	0.0629226735776121	0.0535412579271439	0.0985688669424431	0.10038377537771508	0.09691454367390995	0.091192491904453	0.14355446	0.14018047484157345	0.39678780589618645	0.2071701626973294	0.0	0.0	0.0
26	0.06092476294644108	0.06153566465618905	0.06026333822445436	0.05188795813434833	0.09432106487014714	0.09638374188431988	0.09301289462152569	0.08712532150524634	0.15557167	0.15462581595672606	0.35656098498468713	0.215707968750586	0.0	0.0	0.0
27	0.05833090086332047	0.0598331501895792	0.05794726371765137	0.050556045780713495	0.09060713415052377	0.09288264590281027	0.08959593795154286	0.0835660742940726	0.14360291	0.1538589206216969	0.39081143858517975	0.22079345824834884	0.0	0.0	0.0
28	0.0560656576748972	0.058602289244365155	0.05594119271094149	0.04951245347793038	0.08736108119289081	0.08982301806962048	0.08661164035057199	0.08045959334682536	0.14371674	0.15394354743148767	0.39196868813364577	0.2210650225521847	0.0	0.0	0.0
29	0.05411225386632854	0.05767792488416929	0.0542070536179976	0.04870614021815158	0.08453343633343191	0.08715831764318326	0.08401452390284374	0.0777636777471613	0.14371225	0.1541643563422673	0.3918529631787992	0.22127415263038744	0.0	0.0	0.0
30	0.0524181266410432	0.05720360518506404	0.05270925424315712	0.04811556456056801	0.08207692330082257	0.08484078502213513	0.08176206223581028	0.07543597315196637	0.14378878	0.1543560020188535	0.3918405640764942	0.221469509894728	0.0	0.0	0.0
