Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Train Loss 4	Test Loss 1	Test Loss 2	Test Loss 3	Test Loss 4	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.2272804195390028	0.29462174821073994	0.31630951845684735	0.2570296877838043	0.6942955010077533	0.6895015131343495	0.6799183120330174	0.6735445124762399	0.5291926	0.03765596178167245	0.25575697770367406	0.06564655938281536	0.03254458677172767	0.40349246722754845	0.060231099586537586
2	0.21913541532030292	0.28230011463165283	0.30037641952402816	0.23817841475268445	0.6766849440686843	0.6637771332805807	0.647045224905014	0.6356629065104893	0.427053	0.034367360088288515	0.7014814594268117	0.06552450794788472	0.03320573837762299	0.31613612583260314	0.06009891491158666
3	0.20398756452635222	0.261641167158628	0.2781640729997368	0.2158128353486578	0.6438355691292706	0.623262034221129	0.6053946495056153	0.5913808533123561	0.58735514	0.05399148021472994	0.1025622485176899	0.07074232797208797	0.03256946503039372	0.23459418304934795	0.05719795410847954
4	0.18548871489132152	0.23848437697347932	0.25444770364109004	0.1937103386384895	0.6034282340722925	0.5788057907061144	0.5620934387048085	0.5480209725243704	0.58359796	0.05932384854269648	0.09721785067161196	0.07368435474810583	0.03285932280777642	0.18611179638120678	0.055856750591362095
5	0.16668075323104858	0.21607650142081464	0.2322948239136985	0.1743664482989943	0.5617841131546918	0.5360105498270555	0.5224901939431826	0.5097470147269113	0.57055855	0.06248465989398047	0.09420644305121945	0.07513454744058795	0.03496299222638181	0.1422911367638427	0.05613323578861881
6	0.14967212928276435	0.19630661476267516	0.2127091714244712	0.1575238419225417	0.5232251006014207	0.498014399273829	0.4873559303581715	0.4761609137058258	0.5523975	0.06350907646716515	0.0953931418168826	0.0762523066514009	0.03989436199758055	0.12448852857859859	0.060424663494516355
7	0.13461621339414634	0.17880023667847153	0.19517011236678505	0.14260372716978373	0.48827993343858156	0.4641358425671404	0.45575077161192895	0.4461896581309182	0.5309573	0.06363677096139145	0.09665640179323369	0.07674564296364592	0.046084845167481577	0.11173045349757131	0.06525451833230035
8	0.1211617269060191	0.16305522511910348	0.17917337343824802	0.1290193133684526	0.4563640040509841	0.4334776984019713	0.42662428319454193	0.4185589696679797	0.5050627	0.06332202631575358	0.09873418798329264	0.0771590139481546	0.061442071778519076	0.10129686184104192	0.07648924467854476
9	0.10871409902385637	0.14826296683210527	0.16381679402500487	0.11590261703514192	0.4262162394383374	0.4043255082585595	0.3984504409134388	0.3915781251021794	0.49030405	0.06304284848257252	0.09996554745519043	0.07732255538667035	0.06151385683277303	0.09136942485517172	0.07352649233296824
10	0.09687062133761014	0.1340181687234962	0.1493620858906923	0.1041467400738992	0.3968316088704502	0.37615966390479694	0.3723357816537221	0.3672651844365256	0.4715609	0.0626272183128667	0.10135640944935476	0.07741833826480843	0.05381936312722066	0.06842232865175708	0.0602486123699448
11	0.08642210679895737	0.12136774167527248	0.13651899600261974	0.09400622501789806	0.370143266285167	0.3511027449911291	0.3491455795864264	0.3460362459932055	0.45109656	0.06282059910710633	0.10123731423272907	0.07753102063318983	0.03700957468620363	0.028023529812084762	0.031895722264918214
12	0.07741953417950985	0.11028013797136989	0.1250923148535362	0.08508771487388266	0.34642984060680165	0.3289358541369438	0.3284184177716573	0.32711696539606366	0.4296704	0.06291376693149517	0.101011884001259	0.0775356155818885	0.03446828143021915	0.015888577918045477	0.021750839202168387
13	0.06957072706199159	0.10040270732919665	0.11481656216643144	0.07715188289981291	0.32511789307874794	0.30900391055779025	0.30970620065927507	0.31004396166120257	0.40839723	0.06314417311201877	0.1004419283216932	0.0775410924774682	0.04385749497485152	0.010254948831590857	0.016623029204063024
14	0.06271012047050047	0.09152045394599873	0.10551241831398943	0.07004084339342921	0.3057884644059574	0.290915462103757	0.29271841670076054	0.29455713289124624	0.3867946	0.06312077664925143	0.10053975653535001	0.07755257047195108	0.04379981396706123	0.010214541525949998	0.016565781985617468
15	0.0566907674074173	0.08349753274534741	0.09705258041911483	0.06368536915046623	0.28818997565437765	0.2744307971813462	0.27725461100538573	0.28047689625195094	0.36514932	0.06283605609711675	0.10125220113480728	0.0775471578258129	0.04019140602388716	0.004429916718416374	0.007980246686550238
16	0.051422078527656255	0.07624412023455557	0.0893560252865285	0.05800905985286437	0.27215226082240834	0.25937827507203276	0.26316466790934406	0.2676689671618598	0.18243024	0.04314604140511486	0.5834644798516414	0.08035033486383959	0.0446927374301676	1.7013602375098893e-05	3.4014256225140365e-05
17	0.04685091285728941	0.06968503238728446	0.0823551613946691	0.052953216774636006	0.2575277098838021	0.2456253506243229	0.2503236005703608	0.25601861562047684	0.17491874	0.04511344248499466	0.5864652539705495	0.08378201054889593	0.045454545454545456	2.1267002968873616e-06	4.25320159750252e-06
18	0.04290050816010026	0.06375982530795744	0.07598109934054291	0.04846140782696655	0.24418787921176238	0.23305639827793295	0.23862427473068237	0.24543001566614422	0.1932113	0.050497319221214115	0.42640128282561907	0.09030062827932532	0.0	0.0	0.0
19	0.039524903922688724	0.058408394646253026	0.07018454552473385	0.044485986591821694	0.23203659232924967	0.22157593105327	0.2279719352722168	0.23581648000649044	0.18051448	0.055468297743458454	0.4831565336486521	0.09951219811331294	0.0	0.0	0.0
20	0.03664155669656454	0.05358974148866034	0.0649195029506466	0.04092067700014057	0.22097723273669972	0.2110954797403379	0.21828142702579498	0.22710084233965191	0.18743452	0.06356598420591839	0.3864852449533402	0.10917563772648177	0.0	0.0	0.0
21	0.03423510024360582	0.04925093816144623	0.060137987925583065	0.03782553831676403	0.21092255676493926	0.2015376961366697	0.2094753158589204	0.21921252352850779	0.18002212	0.06902758765417887	0.41062542002330865	0.11818744684178614	0.0	0.0	0.0
22	0.032243499422774595	0.04535281951845127	0.05580302761072833	0.03511135172413056	0.20179594614926508	0.1928318034518849	0.2014810297638178	0.21208735746996743	0.18028422	0.07669654401851289	0.38992411933340704	0.12818048891152464	0.0	0.0	0.0
23	0.0306196991427272	0.04185964982875072	0.051876761116305854	0.03274348135813173	0.19353068050216227	0.18491241031072356	0.1942324809730053	0.20566378618989672	0.1797882	0.0808334125336857	0.3925080601941252	0.13405867763762638	0.0	0.0	0.0
24	0.029330445197867414	0.03873305724267542	0.04832742274632671	0.030702075101884014	0.18603621686206145	0.17771802978082138	0.18766900325814884	0.19988613128662108	0.1885014	0.09910778364865244	0.3080738050071032	0.1499700028935949	0.0	0.0	0.0
25	0.028282905947051795	0.03594110859897885	0.04511891424364686	0.028966901240399086	0.17928150208557353	0.17119508304379202	0.1817325214544932	0.19470195344516208	0.18033753	0.11074661965160305	0.34412350173964085	0.1675665767792124	0.0	0.0	0.0
26	0.027563559658387127	0.033455338057157766	0.04222664539171352	0.027450118685163647	0.17323166570242712	0.16529523411935027	0.17637158346672852	0.19006229511329106	0.17270572	0.11408454599692604	0.36843806623395403	0.17422225797854957	0.0	0.0	0.0
27	0.02701957593215447	0.031250435423894524	0.039625578963407085	0.026169426716774344	0.1678151961635141	0.15997301719405435	0.17153585279981295	0.18592033854552678	0.17261295	0.12308542699569013	0.3570687264467942	0.18306602721817553	0.0	0.0	0.0
