Epoch	Train Loss 1	Train Loss 2	Train Loss 3	Train Loss 4	Test Loss 1	Test Loss 2	Test Loss 3	Test Loss 4	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.4804316094788638	0.45464347178737324	0.35131579637527466	0.3633544345696767	0.6658129920658556	0.6676974097887675	0.6698365211486816	0.6688580513000488	0.2817664	0.033698311903404464	0.9924225668421903	0.06518328569302384	0.03308305449005686	0.41380483696715525	0.06126784024061772
2	0.45492411098696967	0.4290344789624214	0.3342454731464386	0.34310382604599	0.6296275443243748	0.634221699502733	0.6373615264892578	0.6364685297012329	0.23144884	0.03366770725099157	0.9943068233052326	0.06513007871234029	0.030973829907345547	0.3179693414885201	0.05644889544402635
3	0.4272686296701431	0.40188538531462353	0.31652554869651794	0.3215181628863017	0.5910625116339008	0.5986660122871399	0.6024554967880249	0.6016865968704224	0.43232787	0.03519532724783838	0.5170476295798491	0.06590454545700979	0.029597179241744542	0.24048088947113216	0.05270739696719334
4	0.39890220804647963	0.37484267354011536	0.29938068985939026	0.30027779936790466	0.5530463931629959	0.5628105931811862	0.568283200263977	0.567317008972168	0.38383916	0.03490856424297388	0.5675397480285488	0.06577161011471658	0.030054313860887635	0.18521645555621719	0.0517167611985633
5	0.3711255423047326	0.34809568151831627	0.28298190236091614	0.2800623377164205	0.5154578925915134	0.5279475781652663	0.5339611768722534	0.5334110856056213	0.23151815	0.034117207340664535	0.9079330174474493	0.06576324317454939	0.028482291429549517	0.1373082779682356	0.047178249076369076
6	0.3436681315573779	0.32149280856053036	0.2677125334739685	0.26045969128608704	0.4782710759674461	0.49404645297262406	0.5002669095993042	0.500145435333252	0.2116264	0.03449276581460734	0.9051661803611988	0.06645322797077913	0.026899183387248848	0.1041764140430274	0.042757927805135224
7	0.31712371040474285	0.29675665497779846	0.25411123037338257	0.2424095074335734	0.4432277175986651	0.46277955174446106	0.4684329926967621	0.46911847591400146	0.19732566	0.03551050288244201	0.9067845992871301	0.06834457072439498	0.026150929398672876	0.07826469762575179	0.039202840424273994
8	0.29281160376288673	0.27465742578109104	0.24249444901943207	0.22672172884146372	0.4113399282242488	0.43504123555289376	0.4393964409828186	0.44152089953422546	0.18386945	0.03583471366469539	0.8987456721648959	0.0689213989673557	0.02701487820010067	0.049079989451566525	0.034848340709802014
9	0.2708386507359418	0.2547822321454684	0.23270758986473083	0.21255520979563394	0.3826200773993742	0.40999359223577714	0.41293835639953613	0.41661831736564636	0.17868018	0.03603486061819728	0.8728360824479171	0.06921230525301561	0.031365787377594524	0.03559245616870688	0.033345719759271635
10	0.25080616531046956	0.23663568558792272	0.22456197440624237	0.2005168298880259	0.3561634913231563	0.3871290683746338	0.3885507583618164	0.3938700258731842	0.18530492	0.03662546348143737	0.8233541466402389	0.07013126096279294	0.031188114441753644	0.022540896446709143	0.026168658100149005
11	0.23245648882605813	0.2201642543077469	0.21795642375946045	0.1898199369510015	0.33180196988351135	0.3663390444384681	0.3663749098777771	0.37330782413482666	0.18507041	0.0378722460719763	0.7846120473318418	0.07225674889088571	0.032153158210573185	0.010597347579389722	0.015940779508276697
12	0.2156263885985721	0.2052224272241195	0.2128007560968399	0.181265523036321	0.30953392617910813	0.3474745518631405	0.34578609466552734	0.3546120822429657	0.18262596	0.03976289761174484	0.7484049747773345	0.07551373616381363	0.02795436097151665	0.006518336409959763	0.010571608419346217
13	0.2002174024148421	0.1916822474449873	0.20900489389896393	0.17410786946614584	0.2891434616255529	0.33050141400761074	0.3266752362251282	0.3376229703426361	0.17274037	0.04163116974275226	0.7507592320059888	0.0788878435543955	0.02794906410770971	0.006516209709662876	0.010568432671081677
14	0.18614531953226437	0.17942368239164352	0.20649346709251404	0.16715016464392343	0.27052990405015576	0.3154006799062093	0.3091945946216583	0.3222994804382324	0.16937439	0.04310209309697373	0.7090610192849183	0.08126432568029614	0.02167567152331447	0.003600503602630303	0.0061752486695676595
15	0.17334911985830828	0.1684625931084156	0.20517633855342865	0.16107437511285147	0.25344064513456477	0.3018683261341519	0.29330527782440186	0.3085218071937561	0.16921699	0.04440078668436753	0.670737879935008	0.08328815352385348	0.0	0.0	0.0
16	0.16173238892446865	0.15866397072871527	0.20497411489486694	0.15717200438181558	0.23786611189541307	0.2898092435465919	0.27888521552085876	0.2961989641189575	0.17095594	0.048034331472310225	0.5903230883091032	0.08883980673180526	0.0	0.0	0.0
17	0.15123953767798165	0.1500424798578024	0.20579876005649567	0.1534809817870458	0.22380579581249108	0.27925243311458164	0.26601988077163696	0.285400390625	0.16856465	0.0516604008905857	0.5535588202768114	0.09450152794836672	0.0	0.0	0.0
18	0.14179091719063847	0.14236308758457503	0.20755693316459656	0.15272919336954752	0.21115445837523172	0.270040159424146	0.2544410228729248	0.27585405111312866	0.17760968	0.055986615610713615	0.4682823917722219	0.10001562517033252	0.0	0.0	0.0
19	0.13331142775037072	0.13570698723196983	0.2101527452468872	0.15085123479366302	0.19969874591503328	0.26204780903127456	0.24409662187099457	0.2675832509994507	0.17652479	0.06456298699470872	0.4195001403622196	0.11190351247932875	0.0	0.0	0.0
20	0.12572940227660265	0.1299263924981157	0.2134784460067749	0.15225423375765482	0.1894032224578765	0.2553207178910573	0.23476366698741913	0.2603563070297241	0.16455258	0.06966331720994415	0.44405927539067486	0.12043325564078473	0.0	0.0	0.0
21	0.11896947104822506	0.12494737499703963	0.21745389699935913	0.14991357425848642	0.18026223077068051	0.24968375431166756	0.22632509469985962	0.25414490699768066	0.17296089	0.08211941986265255	0.3848710794280027	0.13535774202065395	0.0	0.0	0.0
22	0.11295824332670731	0.12094338051974773	0.22199033200740814	0.15158788859844208	0.17226391784774447	0.24512643615404764	0.21909533441066742	0.2490016222000122	0.17048383	0.09189709854541253	0.37718731125534866	0.1477875571572906	0.0	0.0	0.0
23	0.10765165864066645	0.11738242581486702	0.22699366509914398	0.15232104559739432	0.16524948975414905	0.24148407247331408	0.21310806274414062	0.244755357503891	0.16928832	0.10794965046002486	0.34908722023257593	0.16490504736329745	0.0	0.0	0.0
24	0.10296587560664523	0.11456592939794064	0.23239687085151672	0.15325953563054404	0.15899620668112652	0.23860583868291643	0.2080097794532776	0.24124324321746826	0.17518534	0.13692964774254723	0.2905242741571887	0.18613181202877924	0.0	0.0	0.0
25	0.09886224059896036	0.11221674488236506	0.238107830286026	0.15649773677190146	0.1533081012515767	0.23649633758597904	0.20389001071453094	0.2384658306837082	0.16784558	0.15088890454794157	0.3096667035294718	0.20290826493499253	0.0	0.0	0.0
26	0.09525526222857562	0.11031318238625924	0.24405203759670258	0.15919576585292816	0.14856934460621435	0.23503482010629442	0.2004883885383606	0.2363210916519165	0.16016012	0.16050208952911355	0.31723988328668773	0.2131596847117193	0.0	0.0	0.0
27	0.09210326160896908	0.10894619797666867	0.25019198656082153	0.16178969045480093	0.14439496444990335	0.23410997291405997	0.1976015865802765	0.23473893105983734	0.15002194	0.164592350158067	0.32641659506775667	0.21883786450402362	0.0	0.0	0.0
28	0.08935811091553081	0.1079522455111146	0.2564511001110077	0.16443985203901926	0.1407072422935546	0.23370003203550974	0.1954387128353119	0.23366977274417877	0.14045818	0.1668503643810841	0.33353253426114177	0.22242976338888726	0.0	0.0	0.0
29	0.08697243515740741	0.10756448470056057	0.2627078592777252	0.16675170759359995	0.13748950051885206	0.2337339934375551	0.19373953342437744	0.23304693400859833	0.15998136	0.1828682374621561	0.2954518387450767	0.22591047164349967	0.0	0.0	0.0
30	0.08487373280254278	0.10698673004905383	0.2689704895019531	0.17017078896363577	0.1346295405794116	0.23408760958247715	0.1925698220729828	0.23277997970581055	0.14915232	0.18517031588701746	0.3119252592447662	0.2323870968764136	0.0	0.0	0.0
